Presented Phrase: my watch fell in the water and sank to the bottom
Entered Phrase: my watch fell in the water and sank to the bottom
Index    Letter       Time       Seconds      Xpos       YPos   
0          m         0         37.148        1066        556
1          y         583         37.731        800        268
2          _         1175         38.323        320        700
3          w         1807         38.955        160        268
4          a         2175         39.323        53        412
5          t         2783         39.931        640        268
6          c         3287         40.435        426        556
7          h         3735         40.883        853        412
8          _         4383         41.531        320        700
9          f         4974         42.122        533        412
10          e         5310         42.458        320        268
11          l         6038         43.186        1333        412
12          l         6206         43.354        1333        412
13          _         6694         43.842        320        700
14          i         7214         44.362        1120        268
15          n         7630         44.778        906        556
16          _         8247         45.395        320        700
17          t         8727         45.875        640        268
18          h         9055         46.203        853        412
19          e         9463         46.611        320        268
20          _         10023         47.171        320        700
21          w         10455         47.603        160        268
22          a         10759         47.907        53        412
23          t         11207         48.355        640        268
24          e         11551         48.699        320        268
25          r         11855         49.003        480        268
26          _         12559         49.707        320        700
27          a         13199         50.347        53        412
28          n         13727         50.875        906        556
29          d         14279         51.427        373        412
30          _         14855         52.003        320        700
31          s         15791         52.939        213        412
32          a         16039         53.187        53        412
33          n         16679         53.827        906        556
34          k         17031         54.179        1173        412
35          _         17735         54.883        320        700
36          t         18143         55.291        640        268
37          o         18623         55.771        1280        268
38          _         19127         56.275        320        700
39          t         19574         56.722        640        268
40          h         19887         57.035        853        412
41          e         20326         57.474        320        268
42          _         20910         58.058        320        700
43          b         21222         58.37        746        556
44          o         21782         58.93        1280        268
45          t         22262         59.41        640        268
46          t         22510         59.658        640        268
47          o         23126         60.274        1280        268
48          m         23582         60.73        1066        556
49          enter         24926         62.074        1493        412
