Index    Letter   Time    Seconds    Xpos     YPos   
0      m    0     1.49086208E9     1066     556
1      y    704     1.49086208E9     800     268
2      _    1234     1.49086208E9     320     700
3      w    2139     1.49086208E9     160     268
4      a    2529     1.49086208E9     53     412
5      t    3044     1.49086208E9     640     268
6      c    3465     1.49086208E9     426     556
7      h    3857     1.49086208E9     853     412
8      _    4340     1.49086208E9     320     700
9      f    4902     1.49086208E9     533     412
10      e    5261     1.49086208E9     320     268
11      e    5401     1.49086208E9     320     268
12      bksp    6355     1.49086208E9     1600     268
13      l    7135     1.49086208E9     1333     412
14      l    7275     1.49086208E9     1333     412
15      n    7946     1.49086208E9     906     556
16      bksp    9412     1.49086221E9     1600     268
17      _    9877     1.49086221E9     320     700
18      i    10485     1.49086221E9     1120     268
19      n    10891     1.49086221E9     906     556
20      _    11189     1.49086221E9     320     700
21      t    11769     1.49086221E9     640     268
22      h    12065     1.49086221E9     853     412
23      e    12580     1.49086221E9     320     268
24      _    13110     1.49086221E9     320     700
25      w    13672     1.49086221E9     160     268
26      a    13984     1.49086221E9     53     412
27      t    15029     1.49086221E9     640     268
28      e    15435     1.49086221E9     320     268
29      r    15669     1.49086221E9     480     268
30      _    16308     1.49086221E9     320     700
31      a    16948     1.49086221E9     53     412
32      n    17478     1.49086221E9     906     556
33      d    17977     1.49086221E9     373     412
34      _    18430     1.49086221E9     320     700
35      s    18913     1.49086221E9     213     412
36      a    19163     1.49086221E9     53     412
37      n    19803     1.49086221E9     906     556
38      k    20349     1.49086221E9     1173     412
39      _    20754     1.49086221E9     320     700
40      t    21534     1.49086221E9     640     268
41      o    21940     1.49086221E9     1280     268
42      _    22377     1.49086221E9     320     700
43      t    22860     1.49086221E9     640     268
44      h    23125     1.49086221E9     853     412
45      e    23547     1.49086221E9     320     268
46      _    24124     1.49086221E9     320     700
47      b    24451     1.49086221E9     746     556
48      o    24904     1.49086221E9     1280     268
49      t    25497     1.49086221E9     640     268
50      t    25637     1.49086221E9     640     268
51      o    26261     1.49086221E9     1280     268
52      m    26651     1.49086221E9     1066     556
53      enter    27259     1.49086221E9     1493     412
Index    Letter   Time    Seconds    Xpos     YPos   
0      w    0     1.49086221E9     160     268
1      i    530     1.49086221E9     1120     268
2      t    875     1.49086221E9     640     268
3      h    1155     1.49086221E9     853     412
4      _    1610     1.49086221E9     320     700
5      m    1871     1.49086221E9     1066     556
6      y    2215     1.49086221E9     800     268
7      _    2823     1.49086221E9     320     700
8      t    3260     1.49086221E9     640     268
9      e    3541     1.49086221E9     320     268
10      l    4087     1.49086221E9     1333     412
11      e    4601     1.49086221E9     320     268
12      s    6005     1.49086221E9     213     412
13      c    6349     1.49086221E9     426     556
14      o    6912     1.49086221E9     1280     268
15      p    7723     1.49086221E9     1440     268
16      e    8238     1.49086221E9     320     268
17      _    8802     1.49086221E9     320     700
18      i    9535     1.49086221E9     1120     268
19      setting    9989     1.49086221E9     0     844
20      _    10816     1.49086221E9     320     700
21      c    11581     1.49086221E9     426     556
22      a    11877     1.49086221E9     53     412
23      n    12361     1.49086221E9     906     556
24      _    12797     1.49086221E9     320     700
25      s    13328     1.49086221E9     213     412
26      e    13593     1.49086221E9     320     268
27      e    13765     1.49086221E9     320     268
28      _    14435     1.49086221E9     320     700
29      t    14935     1.49086221E9     640     268
30      h    15137     1.49086221E9     853     412
31      e    15512     1.49086221E9     320     268
32      _    16073     1.49086221E9     320     700
33      r    16673     1.49086221E9     480     268
34      i    17188     1.49086221E9     1120     268
35      n    17516     1.49086221E9     906     556
36      f    17750     1.49086221E9     533     412
37      bksp    18670     1.49086221E9     1600     268
38      g    19216     1.49086221E9     693     412
39      s    19653     1.49086221E9     213     412
40      _    20105     1.49086221E9     320     700
41      o    20682     1.49086221E9     1280     268
42      n    21088     1.49086221E9     906     556
43      _    21431     1.49086221E9     320     700
44      s    22133     1.49086221E9     213     412
45      a    22835     1.49086221E9     53     412
46      t    23615     1.49086221E9     640     268
47      u    23974     1.49086221E9     960     268
48      r    24364     1.49086221E9     480     268
49      n    24957     1.49086221E9     906     556
50      enter    25440     1.49086221E9     1493     412
Index    Letter   Time    Seconds    Xpos     YPos   
0      m    0     26.358     1066     556
1      y    583     26.941     800     268
2      _    1215     27.573     320     700
3      b    1527     27.885     746     556
4      a    2111     28.469     53     412
5      n    2671     29.029     906     556
6      k    3095     29.453     1173     412
7      _    3791     30.149     320     700
8      a    4391     30.749     53     412
9      c    4815     31.173     426     556
10      c    5087     31.445     426     556
11      o    5815     32.173     1280     268
12      u    6223     32.581     960     268
13      n    6583     32.941     906     556
14      t    7015     33.373     640     268
15      _    7743     34.101     320     700
16      a    8223     34.581     53     412
17      p    9047     35.405     1440     268
18      p    9271     35.629     1440     268
19      e    9910     36.268     320     268
20      a    11182     37.54     53     412
21      r    11718     38.076     480     268
22      s    13286     39.644     213     412
23      _    13951     40.309     320     700
24      t    14607     40.965     640     268
25      o    15023     41.381     1280     268
26      _    15991     42.349     320     700
27      b    16271     42.629     746     556
28      e    16767     43.125     320     268
29      _    17471     43.829     320     700
30      o    18623     44.981     1280     268
31      v    19151     45.509     586     556
32      e    19551     45.909     320     268
33      r    19799     46.157     480     268
34      d    20471     46.829     373     412
35      e    20839     47.197     320     268
36      bksp    21607     47.965     1600     268
37      r    22207     48.565     480     268
38      a    22918     49.276     53     412
39      w    23623     49.981     160     268
40      n    24390     50.748     906     556
41      enter    25206     51.564     1493     412
