Gazepoint Trace Data File,  04:46:01  03/30/2017 
sampindx  EyeFound   XPos   YPos   PupilDiam    EyeX    EyeY   EyeZ   GazeTiSec   RpTiSec   FoucsRange    FixIndx
    0        1        36      87      7.14     -1.4     2.2    -2.9    26.3419    26.3614      715.3     -1
    1        1       203     188      7.14     -1.0     3.7    -1.3    26.3586    26.3780      713.8     -1
    2        1       439     286      7.16     -0.5     4.9     0.0    26.3753    26.3946      713.2     -1
    3        1       639     367      7.08      0.1     5.8     0.6    26.3919    26.4115      713.3     -1
    4        1       785     408      7.16      0.6     6.4     1.0    26.4086    26.4281      713.8      0
    5        1       805     421      7.20      1.3     6.9     1.0    26.4253    26.4448      714.4      0
    6        1       812     412      7.22      2.0     7.1     0.8    26.4419    26.4615      714.6      0
    7        1       806     417      7.22      2.6     7.2     0.6    26.4586    26.4784      714.6      0
    8        1       795     412      7.30      3.1     7.2     0.5    26.4753    26.4948      714.6      0
    9        1       795     425      7.30      3.4     7.2     0.3    26.4919    26.5115      714.6      0
   10        1       798     423      7.36      3.4     6.9     0.5    26.5086    26.5282      714.6      0
   11        1       802     409      7.36      3.3     6.7     0.8    26.5253    26.5452      714.6      0
   12        1       797     409      7.40      3.2     6.5     1.1    26.5420    26.5616      714.7      0
   13        1       796     408      7.42      3.2     6.3     1.2    26.5586    26.5782      714.7      0
   14        1       794     406      7.44      3.3     6.0     1.2    26.5753    26.5949      714.7      0
   15        1       797     409      7.46      3.4     5.8     1.5    26.5920    26.6116      714.7      0
   16        1       798     415      7.52      3.4     5.7     2.3    26.6086    26.6282      714.7      0
   17        1       797     404      7.50      3.5     5.5     2.2    26.6253    26.6448      714.7      0
   18        1       843     401      7.56      3.5     5.3     1.7    26.6420    26.6616      714.7      0
   19        1       895     378      7.50      3.6     5.1     1.6    26.6586    26.6784      714.7      1
   20        1       882     378      7.52      3.6     5.0     1.6    26.6753    26.6948      714.8      1
   21        1       892     381      7.46      3.6     4.8     1.3    26.6920    26.7117      714.8      1
   22        1       883     391      7.46      3.6     4.6     1.0    26.7086    26.7282      714.8      1
   23        1       882     375      7.46      3.5     4.5     1.1    26.7253    26.7451      714.8      1
   24        1       878     375      7.50      3.4     4.4     1.9    26.7420    26.7617      714.8      1
   25        1       881     389      7.44      3.3     4.4     1.8    26.7587    26.7783      714.8      1
   26        1       877     372      7.46      3.3     4.3     1.7    26.7753    26.7951      714.9      1
   27        1       875     374      7.40      3.3     4.3     1.4    26.7920    26.8115      715.3      1
   28        1       883     377      7.40      3.3     4.2     1.3    26.8086    26.8284      715.6      1
   29        1       879     382      7.38      3.2     4.2     1.0    26.8253    26.8450      715.6      1
   30        1       882     374      7.36      3.1     4.1     0.6    26.8420    26.8617      715.6      1
   31        1       881     377      7.40      3.0     4.0     0.3    26.8586    26.8783      715.6      1
   32        1       882     362      7.38      2.9     3.9     0.7    26.8753    26.8950      715.6      1
   33        1       879     372      7.34      2.9     3.9     0.0    26.8920    26.9116      715.6      1
   34        1       882     361      7.36      2.9     3.8     0.2    26.9086    26.9282      715.6      1
   35        1       878     367      7.36      2.9     3.7     0.2    26.9253    26.9450      715.6      1
   36        1       879     379      7.34      3.0     3.7     0.1    26.9419    26.9617      715.6      1
   37        1       882     367      7.34      3.0     3.6    -0.1    26.9586    26.9783      715.6      1
   38        1       877     361      7.36      3.1     3.6     0.1    26.9753    26.9947      715.6      1
   39        1       875     361      7.36      3.1     3.4     0.3    26.9919    27.0116      715.6      1
   40        1       873     379      7.36      3.2     3.3     0.1    27.0086    27.0282      715.6      1
   41        1       874     370      7.38      3.3     3.2     0.2    27.0253    27.0450      715.6      1
   42        1       870     356      7.40      3.3     3.0     0.1    27.0419    27.0614      715.6      1
   43        1       867     376      7.40      3.4     2.9    -0.1    27.0586    27.0782      715.6      1
   44        1       864     358      7.38      3.4     2.8    -0.5    27.0752    27.0950      715.6      1
   45        1       856     370      7.42      3.5     2.6    -0.6    27.0919    27.1115      715.6      1
   46        1       871     429      7.52      3.5     2.4    -0.9    27.1086    27.1280      715.6      1
   47        1       848     582      7.56      3.4     2.2    -1.2    27.1252    27.1448      715.6      2
   48        1       851     625      7.60      3.2     2.0    -1.7    27.1419    27.1615      715.6      2
   49        1       843     635      7.50      3.2     1.8    -2.2    27.1586    27.1782      715.6      2
   50        1       846     636      7.54      3.2     1.5    -2.1    27.1752    27.1947      715.6      2
   51        1       846     646      7.58      3.1     1.3    -1.8    27.1919    27.2116      715.3      2
   52        1       853     626      7.54      3.1     1.2    -1.9    27.2086    27.2281      714.9      2
   53        1       846     635      7.54      3.0     1.1    -2.2    27.2252    27.2448      714.7      2
   54        1       847     633      7.54      3.0     1.1    -2.5    27.2419    27.2614      714.7      2
   55        1       851     644      7.60      3.0     1.1    -2.1    27.2586    27.2780      714.6      2
   56        1       847     628      7.60      3.1     1.1    -2.3    27.2752    27.2947      714.3      2
   57        1       850     630      7.60      3.1     1.1    -2.5    27.2919    27.3114      714.1      2
   58        1       846     631      7.58      3.2     1.1    -3.4    27.3085    27.3280      714.0      2
   59        1       848     648      7.66      3.2     1.2    -2.9    27.3252    27.3448      714.0      2
   60        1       851     630      7.66      3.2     1.2    -2.9    27.3419    27.3614      713.6      2
   61        1       850     637      7.64      3.3     1.3    -2.6    27.3586    27.3782      712.9      2
   62        1       853     652      7.68      3.2     1.3    -1.9    27.3752    27.3951      712.6      2
   63        1       847     629      7.66      3.2     1.3    -2.3    27.3919    27.4114      712.6      2
   64        1       853     628      7.64      3.1     1.3    -3.2    27.4086    27.4280      712.6      2
   65        1       842     649      7.74      3.2     1.4    -2.4    27.4252    27.4448      712.5      2
   66        1       801     639      7.74      3.2     1.4    -1.9    27.4419    27.4614      712.2      2
   67        1       796     616      7.70      3.2     1.4    -2.3    27.4586    27.4782      711.7      2
   68        1       794     620      7.72      3.1     1.4    -2.4    27.4752    27.4948      711.4      2
   69        1       802     612      7.74      3.0     1.4    -2.3    27.4919    27.5115      711.3      2
   70        1       797     642      7.74      3.0     1.4    -1.8    27.5086    27.5282      711.1      2
   71        1       800     618      7.70      3.1     1.3    -2.1    27.5252    27.5449      711.1      2
   72        1       797     641      7.76      3.1     1.3    -1.7    27.5419    27.5616      711.1      2
   73        1       798     643      7.72      3.1     1.3    -1.4    27.5586    27.5781      711.0      2
   74        1       798     617      7.66      3.1     1.3    -1.7    27.5752    27.5949      710.9      2
   75        1       799     620      7.70      3.1     1.3    -2.0    27.5919    27.6115      710.9      2
   76        1       796     641      7.70      3.2     1.4    -1.5    27.6086    27.6281      710.8      2
   77        1       797     613      7.62      3.1     1.4    -1.8    27.6252    27.6448      710.8      2
   78        1       796     618      7.64      3.0     1.4    -1.9    27.6419    27.6615      710.7      2
   79        1       803     620      7.56      3.0     1.4    -2.9    27.6586    27.6783      710.6      2
   80        1       796     617      7.62      2.9     1.3    -3.2    27.6752    27.6948      710.6      2
   81        1       798     644      7.66      2.8     1.4    -2.5    27.6919    27.7114      710.5      2
   82        1       797     625      7.58      2.6     1.4    -2.2    27.7086    27.7283      709.9      2
   83        1       797     636      7.62      2.4     1.5    -1.8    27.7252    27.7448      709.1      2
   84        1       803     632      7.56      2.2     1.5    -2.1    27.7419    27.7617      708.8      2
   85        1       802     625      7.56      2.0     1.6    -2.2    27.7586    27.7780      708.8      2
   86        1       799     639      7.58      1.9     1.7    -1.9    27.7752    27.7948      708.8      2
   87        1       796     644      7.58      1.7     1.7    -1.7    27.7919    27.8114      708.6      2
   88        1       797     626      7.54      1.5     1.7    -1.8    27.8086    27.8282      708.6      2
   89        1       799     635      7.58      1.4     1.8    -1.8    27.8252    27.8449      708.6      2
   90        1       798     635      7.52      1.1     1.9    -2.0    27.8419    27.8616      708.6      2
   91        1       801     642      7.58      0.9     2.0    -1.5    27.8586    27.8782      708.6      2
   92        1       804     627      7.52      0.6     2.0    -1.6    27.8752    27.8951      708.6      2
   93        1       796     638      7.50      0.4     2.1    -1.3    27.8919    27.9115      708.6      2
   94        1       795     639      7.50      0.0     2.2    -1.0    27.9086    27.9280      708.6      2
   95        1       800     637      7.48     -0.3     2.3    -0.8    27.9252    27.9448      708.6      2
   96        1       617     611      7.48     -0.8     2.4    -0.9    27.9419    27.9616      708.6     -1
   97        1       407     548      7.36     -1.4     2.5    -0.7    27.9586    27.9784      708.6     -1
   98        1       240     518      7.40     -2.1     2.6    -0.0    27.9752    27.9950      708.6      3
   99        1       203     508      7.44     -2.8     2.7     1.1    27.9919    28.0115      708.5      3
  100        1       194     510      7.38     -3.5     2.7     1.4    28.0086    28.0282      708.5      3
  101        1       189     516      7.34     -4.2     2.8     1.6    28.0252    28.0449      708.6      3
  102        1       185     520      7.30     -4.8     2.8     1.4    28.0419    28.0615      709.1      3
  103        1       178     515      7.32     -5.2     2.9     1.5    28.0586    28.0780      709.9      3
  104        1       177     512      7.26     -5.5     2.9     1.1    28.0752    28.0950      710.0      3
  105        1       175     513      7.30     -5.5     2.9     1.3    28.0919    28.1117      710.0      3
  106        1       173     519      7.26     -5.6     3.0     1.2    28.1086    28.1284      710.0      3
  107        1       177     514      7.24     -5.6     3.0     0.8    28.1253    28.1448      710.0      3
  108        1       171     520      7.28     -5.6     3.0     1.4    28.1419    28.1614      710.0      3
  109        1       170     516      7.22     -5.5     3.1     1.2    28.1586    28.1783      710.0      3
  110        1       173     523      7.18     -5.4     3.1     0.8    28.1753    28.1949      710.1      3
  111        1       177     515      7.14     -5.4     3.1     0.3    28.1919    28.2116      710.3      3
  112        1       175     518      7.20     -5.4     3.3     0.3    28.2086    28.2284      710.3      3
  113        1       183     528      7.14     -5.4     3.4     0.1    28.2253    28.2450      710.3      3
  114        1       170     522      7.16     -5.3     3.5     0.7    28.2419    28.2617      710.3      3
  115        1       181     523      7.10     -5.3     3.6     0.2    28.2586    28.2783      710.3      3
  116        1       174     512      7.12     -5.2     3.7     0.5    28.2753    28.2949      710.3      3
  117        1       178     517      7.10     -5.2     3.7     0.6    28.2919    28.3114      710.4      3
  118        1       180     516      7.08     -5.2     3.8     0.4    28.3086    28.3282      710.4      3
  119        1       175     517      7.06     -5.2     3.9     0.6    28.3253    28.3450      710.4      3
  120        1       177     510      7.08     -5.2     3.9     0.6    28.3419    28.3614      710.4      3
  121        1       182     517      7.04     -5.2     4.0    -0.1    28.3586    28.3783      710.4      3
  122        1       177     511      7.06     -5.1     4.0    -0.2    28.3753    28.3949      710.4      3
  123        1       178     521      7.04     -5.0     4.1    -0.1    28.3919    28.4117      710.4      3
