fixindx    X     Y     SacDur  FixDur  FixStart
    0      801   411      4       15        4
    1      877   374      0       28       19
    2      817   631      0       49       47
    3      182   516      2       32       98
    4      910   606      2       19      132
    5     1145   496      1       23      152
    6       43   171      4       28      179
    7      127    81      0       14      207
    8      450   601      2       11      223
    9      229   524      1       25      235
   10      496   621      1       42      261
   11     1043   385      3       13      306
   12     1231   369      0       24      319
   13     1003   357      0       29      343
   14      951   622      1       18      373
   15      714   371      1       21      392
   16      244   122      2       33      415
   17      586   606      2       15      450
   18      241   488      1       12      466
   19      162   491      0       27      478
   20     1307   391      4       19      509
   21     1443   363      0       30      528
   22      415   362      3       36      561
   23      233   395      0        8      597
   24      410    84      1       25      606
   25      272    97      0       21      631
   26      266   232      8       66      660
   27      268   440      0       12      726
   28      289   103      1       33      739
   29      279   406      1        7      773
   30      262   501      0        8      780
   31      275   157      2       28      790
   32      395   117      0       18      818
   33      676   358      2       38      838
   34     1229   355      2       22      878
   35      568   189      2        9      902
   36      330   218      2       13      913
   37      435   118      1       10      927
   38      845   587      3       14      940
   39      905   605      0        6      954
   40      789   603      0       12      960
   41      438   361      2       21      974
   42      400   209      1       13      996
   43      454   104      0       20     1009
   44      496   648      2       23     1031
   45      464   397      1       13     1055
   46      687   352      1       12     1069
   47     1022   353      2        9     1083
   48     1234   363      1       19     1093
   49      732   613      2       21     1114
   50      599   544      0        9     1135
   51      493   363      1       21     1145
   52      451   216      0       19     1166
   53      497   117      0       13     1185
   54      417   567      2       11     1200
   55      424   493      0       13     1211
   56      384   381      0       32     1224
   57      492   218      1       13     1257
   58     1695   364      4       16     1274
   59      565   334      3       29     1293
   60      491   144      1       20     1323
   61      493   213      0       10     1343
   62      172   484      2       17     1355
   63      852   587      3       10     1375
   64      267   360      2       18     1387
   65      492   227      1       27     1406
   66      923   604      2       24     1435
   67      469   204      4       14     1463
   68      528   241      0        7     1477
   69     1505   593      4        8     1488
   70     1602   507      0       23     1496
   71     1126   451      1       11     1520
   72      963   505      0       22     1531
   73      488   218      2       40     1555
   74      486   104      0       29     1595
   75      511   248      0       27     1624
   76      195   200      1       12     1652
   77       76   193      0       19     1664
   78     1714   112      6       10     1689
   79     1840    55      0       38     1699
   80     1340   238      2        6     1739
