Presented Phrase: never too rich and never too thin
Entered Phrase: never too rich and never too thin
Index    Letter   Time    Seconds    Xpos     YPos   
0        n     0      30.547      906      556
1        e     952      31.499      320      268
2        v     1536      32.083      586      556
3        e     2000      32.547      320      268
4        r     2280      32.827      480      268
5        _     2839      33.387      320      700
6        t     3343      33.891      640      268
7        o     3855      34.403      1280      268
8        o     4111      34.658      1280      268
9        _     4799      35.346      320      700
10        r     6128      36.675      480      268
11        i     6624      37.171      1120      268
12        c     7408      37.955      426      556
13        h     7824      38.371      853      412
14        _     8312      38.859      320      700
15        a     8976      39.523      53      412
16        n     9680      40.227      906      556
17        d     10392      40.939      373      412
18        _     11024      41.571      320      700
19        n     11376      41.923      906      556
20        w     11880      42.427      160      268
21        bksp     12864      43.411      1600      268
22        e     13736      44.283      320      268
23        v     14392      44.939      586      556
24        e     14760      45.307      320      268
25        r     15016      45.563      480      268
26        _     15648      46.195      320      700
27        t     16024      46.571      640      268
28        o     16512      47.059      1280      268
29        o     16680      47.227      1280      268
30        _     17119      47.667      320      700
31        t     17591      48.138      640      268
32        h     17967      48.514      853      412
33        i     18495      49.042      1120      268
34        n     19023      49.57      906      556
35        enter     20055      50.602      1493      412
