Presented Phrase: so much pollution that breathing is difficult
Entered Phrase: so much pollution that breathing is difficult
Index    Letter   Time    Seconds    Xpos     YPos   
0          y         0         22.96        800        268
1          bksp         1342         24.302        1600        268
2          s         2509         25.469        213        412
3          o         3951         26.911        1280        268
4          _         4875         27.835        320        700
5          m         6093         29.053        1066        556
6          u         6857         29.817        960        268
7          c         7774         30.734        426        556
8          h         8666         31.626        853        412
9          _         9575         32.535        320        700
10          p         11825         34.785        1440        268
11          o         13334         36.294        1280        268
12          l         14340         37.3        1333        412
13          l         16525         39.485        1333        412
14          u         17792         40.752        960        268
15          t         19074         42.034        640        268
16          i         19791         42.751        1120        268
17          o         20571         43.531        1280        268
18          n         21460         44.42        906        556
19          _         24005         46.965        320        700
20          t         25553         48.513        640        268
21          h         26233         49.193        853        412
22          a         27635         50.595        53        412
23          t         28863         51.823        640        268
24          _         30225         53.185        320        700
25          b         31274         54.234        746        556
26          r         32330         55.29        480        268
27          e         33867         56.827        320        268
28          a         34744         57.704        53        412
29          t         35891         58.851        640        268
30          h         36681         59.641        853        412
31          i         38433         61.393        1120        268
32          n         39409         62.369        906        556
33          g         40256         63.216        693        412
34          _         41185         64.145        320        700
35          i         43366         66.326        1120        268
36          s         44500         67.46        213        412
37          _         45677         68.637        320        700
38          d         46801         69.761        373        412
39          i         47764         70.724        1120        268
40          f         48724         71.684        533        412
41          f         50064         73.024        533        412
42          e         51002         73.962        320        268
43          r         51767         74.727        480        268
44          e         52615         75.575        320        268
45          n         54460         77.42        906        556
46          bksp         56926         79.886        1600        268
47          bksp         59686         82.646        1600        268
48          bksp         61028         83.988        1600        268
49          bksp         62976         85.936        1600        268
50          i         64058         87.018        1120        268
51          c         65381         88.341        426        556
52          u         66245         89.205        960        268
53          l         67102         90.062        1333        412
54          t         68593         91.553        640        268
55          enter         70197         93.157        1493        412
