Gazepoint Trace Data File,  06:48:39  03/30/2017 
sampindx  EyeFound   XPos   YPos   PupilDiam    EyeX    EyeY   EyeZ   GazeTiSec   RpTiSec   FoucsRange    FixIndx
    0        1       831     284      9.32      1.9     2.9     4.0    22.2718    22.4405        0.0      0
    1        1       829     280      9.32      1.9     2.9     3.5    22.2802    22.4420        0.0      0
    2        1       828     297      9.33      1.9     2.9     3.3    22.2885    22.4428        0.0      0
    3        1       832     299      9.34      1.9     2.9     3.1    22.2968    22.4433        0.0      0
    4        1       834     298      9.33      1.8     3.0     2.7    22.3052    22.4437        0.0      0
    5        1       830     291      9.35      1.8     3.0     3.0    22.3135    22.4440        0.0      0
    6        1       830     288      9.37      1.8     3.0     2.7    22.3218    22.4443        0.0      0
    7        1       830     289      9.33      1.7     3.0     2.4    22.3302    22.4447        0.0      0
    8        1       830     290      9.34      1.7     3.0     2.3    22.3385    22.4452        0.0      0
    9        1       827     295      9.34      1.7     3.0     2.1    22.3468    22.4456        0.0      0
   10        1       827     300      9.34      1.6     3.0     2.1    22.3552    22.4461        0.0      0
   11        1       832     310      9.37      1.6     2.9     2.7    22.3635    22.4465        0.0      0
   12        1       833     293      9.36      1.6     2.9     2.4    22.3718    22.4470        0.0      0
   13        1       834     280      9.35      1.6     2.9     2.7    22.3802    22.4474        0.0      0
   14        1       834     281      9.37      1.5     3.0     2.9    22.3885    22.4478        0.0      0
   15        1       833     287      9.37      1.5     3.0     3.1    22.3968    22.4482        0.0      0
   16        1       832     288      9.39      1.5     3.0     3.6    22.4052    22.4487        0.0      0
   17        1       832     296      9.34      1.5     2.9     3.1    22.4135    22.4492        0.0      0
   18        1       833     315      9.31      1.4     2.9     2.9    22.4218    22.4496        0.0      0
   19        1       827     296      9.34      1.4     2.9     2.6    22.4302    22.4501        0.0      0
   20        1       824     280      9.38      1.4     2.9     3.1    22.4385    22.4581        0.0      0
   21        1       831     291      9.38      1.4     3.0     3.0    22.4468    22.4663        0.0      0
   22        1       834     304      9.34      1.3     3.0     2.7    22.4552    22.4747        0.0      0
   23        1       834     303      9.33      1.3     3.0     2.6    22.4635    22.4830        0.0      0
   24        1       834     287      9.34      1.3     2.9     2.3    22.4718    22.4913        0.0      0
   25        1       828     280      9.36      1.3     2.9     2.4    22.4802    22.5317        0.0      0
   26        1       826     283      9.38      1.2     2.9     2.5    22.4885    22.5319        0.0      0
   27        1       834     284      9.38      1.2     2.9     2.2    22.4968    22.5321        0.0      0
   28        1       834     283      9.37      1.2     2.9     1.9    22.5052    22.5322        0.0      0
   29        1       831     298      9.38      1.2     2.9     2.2    22.5135    22.5333        0.0      0
   30        1       828     297      9.40      1.2     2.8     2.3    22.5218    22.5414        0.0      0
   31        1       830     288      9.40      1.1     2.8     2.4    22.5302    22.5497        0.0      0
   32        1       832     280      9.36      1.1     2.8     1.8    22.5385    22.5581        0.0      0
   33        1       827     273      9.35      1.1     2.8     1.9    22.5469    22.5664        0.0      0
   34        1       830     280      9.37      1.0     2.8     1.7    22.5552    22.5747        0.0      0
   35        1       830     285      9.37      1.0     2.8     2.4    22.5635    22.5832        0.0      0
   36        1       830     290      9.34      1.0     2.7     2.4    22.5719    22.5914        0.0      0
   37        1       832     307      9.25      1.0     2.7     1.9    22.5802    22.5998        0.0      0
   38        1       835     303      9.19      0.9     2.7     1.6    22.5885    22.6079        0.0      0
   39        1       835     309      9.12      0.9     2.7     1.3    22.5969    22.6167        0.0      0
   40        1       830     319      9.07      0.9     2.7     1.1    22.6052    22.6248        0.0      0
   41        1       832     316      9.01      0.8     2.7     0.8    22.6135    22.6330        0.0      0
   42        1       834     300      8.96      0.8     2.6     0.7    22.6219    22.6416        0.0      0
   43        1       832     299      8.88      0.8     2.6     0.5    22.6302    22.6498        0.0      0
   44        1       831     307      8.80      0.8     2.6     0.7    22.6385    22.6581        0.0      0
   45        1       831     301      8.75      0.7     2.6     0.7    22.6469    22.6663        0.0      0
   46        1       835     303      8.68      0.7     2.6     0.5    22.6552    22.6748        0.0      0
   47        1       839     305      8.62      0.7     2.6     0.7    22.6635    22.6831        0.0      0
   48        1       836     299      8.56      0.6     2.6     1.1    22.6719    22.6913        0.0      0
   49        1       835     306      8.46      0.6     2.5     1.0    22.6802    22.6997        0.0      0
   50        1       836     309      8.36      0.6     2.5     0.8    22.6885    22.7081        0.0      0
   51        1       840     292      8.32      0.5     2.5     1.1    22.6969    22.7164        0.0      0
   52        1       840     294      8.25      0.5     2.5     1.0    22.7052    22.7248        0.0      0
   53        1       841     300      8.17      0.4     2.5     1.3    22.7135    22.7331        0.0      0
