fixindx    X     Y     SacDur  FixDur  FixStart
    0      835   294      0       78        0
    1      190   122      4       22       82
    2       51   114      0       31      104
    3     1740   304     12       23      147
    4     1758   370      0       87      170
    5      846   557      6        9      263
    6      285   499      6      114      278
    7      899   598      5       29      397
    8      932   391      2       24      428
    9     1212   303      2       25      454
   10     1368   337      1       90      480
   11     1079   579      3       16      573
   12      890   781      2       69      591
   13      993   623      0       36      660
   14     1158   610      0      131      696
   15     1068   334      2      105      829
   16      531   595      5      104      939
   17      945   453      3      102     1046
   18      925   793      5       85     1153
   19      851   697      0       20     1238
   20      184    76      6       65     1264
   21     1485   345     12       23     1341
   22     1532   336      0       61     1364
   23     1400   338      0      170     1425
   24     1400   328     11      120     1606
   25     1438   475      0      161     1726
   26     1444   486     15       63     1902
   27     1252   344      2       20     1967
   28     1440   476      0      116     1987
   29     1040   344      3       25     2106
   30      934   345      0        9     2131
   31     1088   316      2      107     2142
   32      809   292      2       30     2251
   33      900   316      0       12     2281
   34      753   315      0       84     2293
   35     1252   308      4       94     2381
   36     1380   332      0      103     2475
   37     1009   622      3      106     2581
   38      293   216      6       19     2693
   39      216   204      0       40     2712
   40      190    87      0       32     2752
   41      295    62      0       34     2784
   42      253   178      0       26     2818
   43      870   760      9      134     2853
   44      781   329      3       66     2990
   45      862   326      0       17     3056
   46      756   323      0       79     3073
   47      962   453      1      105     3153
   48      205   471      5       22     3263
   49      134   489      0      138     3285
   50      479   328      2       25     3425
   51      607   311      0       19     3450
   52      752   308      0       99     3469
   53      322   192      3       26     3571
   54      390    73      0       25     3597
   55      862   687      9       24     3631
   56      890   752      0       83     3655
   57      828   615      0      125     3738
   58      688   360      1       22     3864
   59      578   343      0      102     3886
   60      418   342      0       54     3988
   61      412   332     13      117     4055
   62      155   505      2      103     4174
   63      751   340      5      124     4282
   64      953   444      1      109     4407
   65      438   186      4       50     4520
   66      449   104      0       20     4570
   67     1086   300      5       17     4595
   68     1226   333      0       99     4612
   69     1031   559      2       22     4713
   70     1015   614      0      100     4735
   71      790   456      2      106     4837
   72      897   764      4      108     4947
   73      530   134      7       57     5062
   74      989   333      4       12     5123
   75     1173   350      1       24     5136
   76     1240   318      0       37     5160
   77     1239   325     13      106     5210
   78      412   524      7       23     5323
   79      305   484      0      102     5346
   80      551    80      3       27     5451
   81      851   778      7      102     5485
   82      586   490      3       32     5590
   83      483   479      0       86     5622
   84     1227   327      5      110     5713
   85      635   472      4      168     5827
   86      630   455     14       98     6009
   87      511   326      2       17     6109
   88      415   331      0       92     6126
   89      562   314      0      102     6218
   90      405   331      0       94     6320
   91      571   318      0       62     6414
   92      986   350      3       40     6479
   93      948   529      1       21     6520
   94     1023   628      0       97     6541
   95      817   338      2       20     6640
   96      628   197      1       54     6661
   97      906   329      2       53     6717
   98      772   313      0       25     6770
   99      935   314      0       35     6795
  100     1764   369      7      125     6837
  101     1780   344     11       54     6973
  102     1757   334     11       60     7038
  103      620   215      8       50     7106
  104     1789   336     12      150     7168
  105     1784   355     11      123     7329
  106      612   216      8       58     7460
  107      631    93      0       31     7518
  108     1794   332     14      103     7563
  109     1420   332      2       24     7668
  110     1223   325      1       90     7693
  111      811   553      2       17     7785
  112      719   605      0       21     7802
  113      515   615      0      126     7823
  114     1086   305      6       99     7955
  115     1418   452      2      103     8056
  116      696   353      5       39     8164
  117      636   204      0       34     8203
  118      746   312      0      111     8237
  119      637   209      0       22     8348
  120      172   206      4       27     8374
  121       83   195      0       16     8401
  122     1673   508     13      128     8430
  123     1014   507      4       96     8562
  124     1511   115      4      108     8662
  125     1092   410      3       23     8773
  126     1005   468      0       36     8796
  127     1168   410      0       22     8832
  128     1268   401      0       20     8854
  129     1027   490      1       23     8875
  130     1033   546     11       65     8909
  131      975   634      0       36     8974
  132      974   727      0       35     9010
  133      967   593      0      138     9045
  134      679   262      3       75     9186
  135      999   351      4       61     9265
  136     1791    54      8       11     9334
  137     1880    58      7       90     9352
  138     1622    17      3       40     9445
  139     1857    65      3       66     9488
  140     1017   517      7       27     9561
  141      957   562      0       47     9588
