Presented Phrase: my watch fell in the water and sank to the bottom
Entered Phrase: my watch fell in the water and sank to the bottom
Index    Letter       Time       Seconds      Xpos       YPos   
0          m         0         34.373        1066        556
1          u         1014         35.387        960        268
2          bksp         2666         37.039        1600        268
3          y         3824         38.197        800        268
4          _         4725         39.098        320        700
5          e         5589         39.962        320        268
6          bksp         6831         41.204        1600        268
7          e         7831         42.204        320        268
8          bksp         8925         43.298        1600        268
9          w         10074         44.447        160        268
10          a         10828         45.201        53        412
11          t         11800         46.173        640        268
12          c         12902         47.275        426        556
13          h         13933         48.306        853        412
14          _         14850         49.223        320        700
15          f         17221         51.594        533        412
16          e         17850         52.223        320        268
17          l         19240         53.613        1333        412
18          l         20307         54.68        1333        412
19          _         21182         55.555        320        700
20          i         22306         56.679        1120        268
21          n         23062         57.435        906        556
22          _         23923         58.296        320        700
23          t         24712         59.085        640        268
24          h         25886         60.259        853        412
25          e         27540         61.913        320        268
26          _         29116         63.489        320        700
27          w         30983         65.356        160        268
28          a         32200         66.573        53        412
29          t         33575         67.948        640        268
30          r         34546         68.919        480        268
31          bksp         36581         70.954        1600        268
32          e         37865         72.238        320        268
33          t         38728         73.101        640        268
34          bksp         39950         74.323        1600        268
35          r         40919         75.292        480        268
36          _         42184         76.557        320        700
37          s         43359         77.732        213        412
38          bksp         44589         78.962        1600        268
39          a         45716         80.089        53        412
40          n         46805         81.178        906        556
41          f         47812         82.185        533        412
42          bksp         48992         83.365        1600        268
43          d         50076         84.449        373        412
44          _         51199         85.572        320        700
45          s         52091         86.464        213        412
46          s         52861         87.234        213        412
47          bksp         54284         88.657        1600        268
48          a         55477         89.85        53        412
49          n         56395         90.768        906        556
50          k         57103         91.476        1173        412
51          _         58700         93.073        320        700
52          y         59631         94.004        800        268
53          bksp         61006         95.379        1600        268
54          t         62317         96.69        640        268
55          o         63219         97.592        1280        268
56          _         64670         99.043        320        700
57          t         65576         99.949        640        268
58          h         66468         100.841        853        412
59          e         67338         101.711        320        268
60          _         68275         102.648        320        700
61          b         68952         103.325        746        556
62          o         69769         104.142        1280        268
63          t         70836         105.209        640        268
64          t         72190         106.563        640        268
65          o         73034         107.407        1280        268
66          m         74399         108.772        1066        556
67          enter         77077         111.45        1493        412
