Gazepoint Trace Data File,  07:00:14  03/30/2017 
sampindx  EyeFound   XPos   YPos   PupilDiam    EyeX    EyeY   EyeZ   GazeTiSec   RpTiSec   FoucsRange    FixIndx
    0        1       918     270      8.30      0.5     2.2     2.2    31.7920    31.8992        0.0      0
    1        1       916     260      8.31      0.5     2.2     2.6    31.8003    31.9018        0.0      0
    2        1       916     249      8.34      0.5     2.2     2.5    31.8086    31.9020        0.0      0
    3        1       915     267      8.34      0.5     2.2     2.5    31.8169    31.9022        0.0      0
    4        1       912     267      8.35      0.5     2.2     2.7    31.8253    31.9024        0.0      0
    5        1       910     251      8.35      0.5     2.2     3.0    31.8336    31.9025        0.0      0
    6        1       911     254      8.38      0.5     2.2     3.5    31.8420    31.9027        0.0      0
    7        1       913     274      8.36      0.4     2.2     3.3    31.8503    31.9029        0.0      0
    8        1       913     282      8.36      0.4     2.2     3.8    31.8586    31.9031        0.0      0
    9        1       913     278      8.39      0.4     2.2     4.0    31.8669    31.9032        0.0      0
   10        1       913     264      8.40      0.4     2.2     4.0    31.8753    31.9034        0.0      0
   11        1       914     240      8.43      0.4     2.2     4.5    31.8838    31.9063        0.0      0
   12        1       913     245      8.44      0.4     2.3     4.5    31.8922    31.9122        0.0      0
   13        1       915     249      8.45      0.4     2.3     5.0    31.9005    31.9207        0.0      0
   14        1       915     244      8.48      0.4     2.3     5.1    31.9088    31.9284        0.0      0
   15        1       912     246      8.47      0.4     2.2     4.7    31.9171    31.9361        0.0      0
   16        1       908     245      8.48      0.4     2.2     4.4    31.9255    31.9452        0.0      0
   17        1       910     252      8.51      0.4     2.2     4.4    31.9337    31.9526        0.0      0
   18        1       914     247      8.51      0.4     2.2     3.8    31.9421    31.9619        0.0      0
   19        1       913     238      8.52      0.4     2.1     3.5    31.9504    31.9691        0.0      0
   20        1       912     250      8.53      0.4     2.2     3.0    31.9587    31.9785        0.0      0
   21        1       916     250      8.55      0.3     2.1     2.7    31.9670    31.9858        0.0      0
   22        1       919     241      8.55      0.3     2.1     2.5    31.9754    31.9951        0.0      0
   23        1       915     244      8.59      0.3     2.1     2.5    31.9837    32.0025        0.0      0
   24        1       912     253      8.61      0.3     2.1     2.3    31.9920    32.0119        0.0      0
   25        1       914     243      8.65      0.3     2.1     2.9    32.0003    32.0192        0.0      0
   26        1       916     246      8.66      0.3     2.1     2.6    32.0087    32.0287        0.0      0
   27        1       914     260      8.62      0.3     2.1     2.0    32.0170    32.0359        0.0      0
   28        1       913     256      8.64      0.3     2.1     2.1    32.0254    32.0452        0.0      0
   29        1       911     250      8.66      0.3     2.1     2.0    32.0337    32.0526        0.0      0
   30        1       910     254      8.66      0.3     2.1     2.0    32.0420    32.0619        0.0      0
   31        1       914     251      8.70      0.2     2.1     2.4    32.0503    32.0692        0.0      0
   32        1       914     255      8.72      0.2     2.1     2.1    32.0587    32.0786        0.0      0
   33        1       911     261      8.71      0.2     2.1     2.1    32.0670    32.0860        0.0      0
   34        1       910     250      8.74      0.2     2.2     2.4    32.0753    32.0952        0.0      0
   35        1       910     253      8.73      0.1     2.2     1.8    32.0836    32.1025        0.0      0
   36        1       909     262      8.71      0.1     2.2     1.8    32.0920    32.1121        0.0      0
   37        1       912     255      8.69      0.1     2.2     1.4    32.1003    32.1193        0.0      0
   38        1       914     246      8.70      0.0     2.2     1.8    32.1087    32.1286        0.0      0
   39        1       910     251      8.68     -0.0     2.2     1.6    32.1170    32.1360        0.0      0
   40        1       912     259      8.62     -0.1     2.3     1.5    32.1253    32.1453        0.0      0
   41        1       914     248      8.63     -0.1     2.3     2.0    32.1336    32.1526        0.0      0
   42        1       914     251      8.59     -0.2     2.3     2.0    32.1420    32.1619        0.0      0
   43        1       902     250      8.53     -0.3     2.3     2.5    32.1503    32.1692        0.0      0
   44        1       838     235      8.52     -0.4     2.3     2.4    32.1587    32.1786        0.0     -1
   45        1       704     245      8.48     -0.5     2.3     2.3    32.1670    32.1860        0.0     -1
   46        1       594     242      8.41     -0.6     2.3     2.1    32.1753    32.1952        0.0     -1
   47        1       462     262      8.37     -0.7     2.3     2.1    32.1836    32.2026        0.0     -1
   48        1       345     260      8.33     -0.9     2.3     2.1    32.1920    32.2119        0.0     -1
   49        1       240     243      8.29     -1.1     2.3     2.2    32.2003    32.2192        0.0      1
   50        1       190     207      8.24     -1.3     2.3     2.5    32.2087    32.2286        0.0      1
   51        1       192     196      8.18     -1.4     2.3     2.0    32.2170    32.2361        0.0      1
   52        1       191     202      8.13     -1.6     2.3     2.4    32.2253    32.2452        0.0      1
