fixindx    X     Y     SacDur  FixDur  FixStart
    0      912   253      0       44        0
    1      196   197      5       18       49
    2      115   137      0       33       67
    3     1380   314      9       10      109
    4     1105   345      2       33      121
    5     1520   395      3       42      157
    6     1625   397      0       10      199
    7     1260   557      3       17      212
    8     1175   623      0      104      229
    9     1047   385      2       20      335
   10      915   325      0      120      355
   11      117   117      5       39      480
   12     1695   332     12       22      531
   13     1741   373      0      102      553
   14      924   336      6      134      661
   15      916   760      3      101      798
   16      294   365      5      112      904
   17      118   173      1       21     1017
   18     1751   374     12      103     1050
   19      297   337     14       98     1167
   20      418   330      0       16     1265
   21     1751   375     13      108     1294
   22      290   335     14      117     1416
   23      162   456      0       93     1533
   24      655   321      5       18     1631
   25      754   325      0       90     1649
   26      717   585      2       18     1741
   27      543   610      0      113     1759
   28     1040   449      3       30     1875
   29      967   465      0      107     1905
   30      909   726      1      108     2013
   31      461   446      4       24     2125
   32      267   145      2       70     2151
   33      442   432      2       21     2223
   34      503   473      0       14     2244
   35      740   442      1       32     2259
   36      809   445      0        7     2291
   37      624   460      1       74     2299
   38      451   328      2      102     2375
   39     1232   345      6       28     2483
   40     1301   474      0       29     2511
   41     1448   486      0      116     2540
   42     1440   469     10      103     2666
   43      907   736      5       96     2774
   44      978   408      2       16     2872
   45     1170   346      1       21     2889
   46     1251   351      0       88     2910
   47     1027   597      2      101     3000
   48      908   751      3       90     3104
   49      766   371      5       80     3199
   50      322   118      4       41     3283
   51      449   197      0        9     3324
   52      967   455      4      115     3337
   53      442   331      4       59     3456
   54      337   232      0       22     3515
   55      435   324      0      104     3537
   56      790   637      5       21     3646
   57      842   757      0       60     3667
   58      912   757      0      100     3727
   59      428   353      5       38     3832
   60      307   336      0       81     3870
   61      223   437      0      108     3951
   62      335   212      2       33     4061
   63      175   464      3      112     4097
   64      632   329      4       19     4213
   65      770   317      0      130     4232
   66      515   339      1       18     4363
   67      446   341      0       77     4381
   68      569   315      0       27     4458
   69      405   220      0       22     4485
   70     1208   154     19       13     4526
   71     1603   323      2       36     4541
   72     1716   364      0       48     4577
   73     1785   354      0       98     4625
   74      412   239      9       45     4732
   75      430   326      0      101     4777
   76      608   324      1      106     4879
   77     1668   344     10       32     4995
   78     1762   362      0       92     5027
   79      610   339      8       88     5127
   80      431   231      0       52     5215
   81      475    96      0       18     5267
   82      875   746     11      100     5296
   83      336   528     12       27     5408
   84      194   495      0      113     5435
   85     1776   311     15       31     5563
   86     1749   372      0       89     5594
   87      282   496     16       20     5699
   88      167   498      0      101     5719
   89      956   564      7       24     5827
   90     1023   604      0       99     5851
   91      607   486      3       19     5953
   92      507   489      0       82     5972
   93      645   456      0       24     6054
   94     1703   328      9       25     6087
   95     1756   371      0       96     6112
   96      494   475     10      129     6218
   97      881   765     18      114     6365
   98      327   505      5       93     6484
   99      176   501      0       74     6577
  100      293   489      0       28     6651
  101     1735   369     16      154     6695
  102      299   488     14       22     6863
  103      166   512      0      107     6885
  104     1023   612      7       85     6999
  105     1272   480      1      103     7085
  106      634   255      4       13     7192
  107      547   239      0       43     7205
  108      888   756      7      111     7255
  109      889   316      3       20     7369
  110      757   340      0       89     7389
  111      944   307      1       17     7479
  112     1763   366      7      150     7503
  113      832   357     12       35     7665
  114      920   317      0       10     7700
  115      774   306      1      102     7711
  116     1383   334      6      104     7819
  117      980   730      9       61     7932
  118      904   736      0      106     7993
  119      674   321      3       25     8102
  120      770   334      0       80     8127
  121      979   446      2      101     8209
  122      447   338      4      104     8314
  123      903   745      7       81     8425
  124      869   620      0       93     8506
  125     1376   342      6      100     8605
  126      910   342      3       24     8708
  127      778   318      0      153     8732
  128      768   305     11       95     8896
  129     1375   337      4      102     8995
  130     1180   622      2       60     9099
  131     1175   611      2      104     9161
  132      746   224      4       53     9269
  133     1569   447      6       27     9328
  134      599   121      6       20     9361
  135      699   105      0       33     9381
  136      286   171      3       23     9417
  137      204   205      0       31     9440
  138     1662   481     11      124     9482
  139      997   500      4      182     9610
  140     1750   100      9       15     9801
  141     1875    21      9       48     9825
  142     1110   405      5       41     9878
  143     1030   404      0       26     9919
  144     1265   341      1       34     9946
  145     1007   517      1      130     9981
  146      801   568      2       33    10113
  147      997   597      0       46    10146
  148     1895    29      8       65    10200
  149      862   226      7       18    10272
  150      777   199      0       44    10290
  151      914   454      2       20    10336
