Gazepoint Trace Data File,  07:02:54  03/30/2017 
sampindx  EyeFound   XPos   YPos   PupilDiam    EyeX    EyeY   EyeZ   GazeTiSec   RpTiSec   FoucsRange    FixIndx
    0        1      1118     617      7.28     -0.3     3.2    -0.9    37.1310    37.1503      749.9     -1
    1        1      1117     622      7.24     -0.5     3.2    -0.9    37.1477    37.1671      749.9     -1
    2        1      1117     596      7.20     -0.6     3.2    -1.7    37.1644    37.1837      749.9     -1
    3        1      1108     618      7.30     -0.8     3.3    -1.2    37.1810    37.2005      749.9     -1
    4        1      1051     478      7.24     -1.0     3.3    -1.2    37.1977    37.2172      749.8     -1
    5        1       979     376      7.34     -1.3     3.3    -0.6    37.2144    37.2339      749.4     -1
    6        1       940     312      7.24     -1.5     3.4    -0.8    37.2310    37.2506      749.3      0
    7        1       931     297      7.22     -1.8     3.5    -0.9    37.2477    37.2674      749.3      0
    8        1       917     297      7.22     -2.0     3.5    -0.8    37.2644    37.2841      749.3      0
    9        1       913     307      7.28     -2.2     3.5    -1.2    37.2810    37.3007      749.3      0
   10        1       915     316      7.20     -2.3     3.6    -1.9    37.2977    37.3172      749.3      0
   11        1       910     314      7.26     -2.4     3.6    -1.4    37.3144    37.3339      749.3      0
   12        1       911     327      7.26     -2.5     3.6    -1.0    37.3310    37.3507      749.2      0
   13        1       912     327      7.28     -2.6     3.6    -0.8    37.3477    37.3674      748.8      0
   14        1       911     325      7.30     -2.6     3.6    -0.6    37.3644    37.3840      748.7      0
   15        1       888     322      7.22     -2.6     3.5    -0.9    37.3810    37.4006      748.7      0
   16        1       874     336      7.24     -2.7     3.5    -1.1    37.3977    37.4173      748.7      0
   17        1       868     356      7.28     -2.6     3.5    -0.9    37.4144    37.4340      748.7      0
   18        1       870     341      7.24     -2.5     3.5    -1.0    37.4310    37.4506      748.7      0
   19        1       870     329      7.24     -2.4     3.5    -1.3    37.4477    37.4674      748.7      0
   20        1       874     353      7.24     -2.2     3.5    -1.2    37.4644    37.4839      748.7      0
   21        1       872     354      7.26     -2.1     3.5    -0.5    37.4810    37.5009      748.7      0
   22        1       871     337      7.22     -2.0     3.5    -0.5    37.4977    37.5173      748.7      0
   23        1       873     331      7.22     -2.0     3.5    -0.6    37.5144    37.5341      748.7      0
   24        1       872     345      7.22     -1.8     3.5    -0.5    37.5310    37.5506      748.7      0
   25        1       871     351      7.20     -1.7     3.5    -0.5    37.5477    37.5673      748.7      0
   26        1       875     347      7.18     -1.6     3.5    -0.5    37.5644    37.5839      748.7      0
   27        1       868     345      7.22     -1.5     3.5    -0.4    37.5811    37.6008      748.7      0
   28        1       872     346      7.22     -1.4     3.6    -0.2    37.5977    37.6172      748.7      0
   29        1       869     328      7.16     -1.4     3.5    -1.0    37.6144    37.6339      748.7      0
   30        1       868     331      7.20     -1.3     3.5    -1.1    37.6311    37.6505      748.7      0
   31        1       869     332      7.18     -1.2     3.5    -1.2    37.6477    37.6673      748.7      0
   32        1       869     333      7.18     -1.2     3.5    -1.5    37.6644    37.6838      748.3      0
   33        1       871     336      7.22     -1.2     3.4    -1.6    37.6811    37.7005      748.2      0
   34        1       869     334      7.22     -1.2     3.4    -2.0    37.6977    37.7172      748.2      0
   35        1       871     335      7.26     -1.2     3.4    -1.5    37.7144    37.7339      748.2      0
   36        1       869     347      7.28     -1.2     3.5    -1.4    37.7311    37.7506      748.2      0
   37        1       874     345      7.30     -1.2     3.5    -0.8    37.7477    37.7672      748.1      0
   38        1       866     347      7.32     -1.2     3.5    -0.6    37.7644    37.7839      748.1      0
   39        1       869     345      7.32     -1.3     3.5    -0.7    37.7811    37.8006      748.1      0
   40        1       869     331      7.36     -1.3     3.5    -0.7    37.7977    37.8172      748.1      0
   41        1       871     328      7.36     -1.4     3.5    -0.9    37.8144    37.8340      748.1      0
   42        1       865     344      7.42     -1.5     3.4    -0.7    37.8311    37.8508      748.1      0
   43        1       817     461      7.52     -1.6     3.4    -0.1    37.8477    37.8672      748.1     -1
   44        1       800     585      7.56     -1.8     3.2    -0.2    37.8644    37.8838      748.1     -1
   45        1       783     662      7.58     -1.9     3.1    -0.1    37.8811    37.9005      748.1      1
   46        1       793     676      7.62     -2.1     2.9    -0.2    37.8977    37.9172      748.1      1
   47        1       791     667      7.58     -2.2     2.7    -0.4    37.9144    37.9338      748.1      1
   48        1       792     682      7.62     -2.3     2.5     0.0    37.9311    37.9505      748.1      1
   49        1       788     668      7.56     -2.4     2.3    -0.9    37.9477    37.9672      748.1      1
   50        1       789     678      7.62     -2.5     2.1    -0.6    37.9644    37.9840      748.1      1
   51        1       790     667      7.64     -2.6     1.9    -1.2    37.9811    38.0006      748.1      1
   52        1       796     663      7.60     -2.7     1.8    -2.3    37.9977    38.0172      747.8      1
   53        1       791     661      7.62     -2.7     1.7    -2.2    38.0144    38.0340      747.7      1
   54        1       793     675      7.66     -2.8     1.6    -1.9    38.0311    38.0505      747.6      1
   55        1       794     681      7.64     -2.8     1.5    -1.2    38.0478    38.0672      746.9      1
   56        1       796     681      7.66     -2.9     1.5    -0.6    38.0644    38.0839      746.6      1
   57        1       790     684      7.66     -2.9     1.4    -0.2    38.0811    38.1005      746.6      1
   58        1       796     674      7.62     -2.8     1.4    -0.4    38.0978    38.1173      746.6      1
   59        1       794     680      7.62     -2.7     1.3    -0.3    38.1144    38.1339      746.6      1
   60        1       793     667      7.56     -2.6     1.4    -1.3    38.1311    38.1506      746.6      1
   61        1       795     659      7.60     -2.6     1.5    -1.3    38.1478    38.1672      746.6      1
   62        1       797     684      7.62     -2.5     1.5    -0.6    38.1644    38.1840      746.5      1
   63        1       796     680      7.60     -2.5     1.5    -0.3    38.1811    38.2007      746.0      1
   64        1       797     669      7.58     -2.5     1.6    -0.5    38.1978    38.2172      745.8      1
   65        1       795     683      7.60     -2.4     1.7    -0.3    38.2144    38.2340      745.8      1
   66        1       796     683      7.62     -2.4     1.6     0.3    38.2311    38.2505      745.8      1
   67        1       790     675      7.48     -2.4     1.6    -1.3    38.2478    38.2674      745.8      1
   68        1       637     605      7.56     -2.4     1.7    -0.9    38.2644    38.2841      745.8     -1
   69        1       472     457      7.46     -2.5     1.8    -1.4    38.2811    38.3006      745.8     -1
   70        1       367     395      7.50     -2.7     1.8    -0.4    38.2978    38.3174      745.2      2
   71        1       362     361      7.52     -2.8     1.8    -0.1    38.3144    38.3340      744.9      2
   72        1       363     365      7.44     -3.0     1.9    -0.4    38.3311    38.3506      744.9      2
   73        1       356     369      7.44     -3.2     1.9    -0.2    38.3478    38.3674      744.9      2
   74        1       352     389      7.40     -3.3     1.9    -0.3    38.3644    38.3841      744.9      2
   75        1       356     384      7.36     -3.5     2.0    -0.3    38.3811    38.4006      744.9      2
   76        1       353     384      7.34     -3.5     2.1    -0.3    38.3978    38.4173      744.9      2
   77        1       355     376      7.32     -3.6     2.1    -0.6    38.4144    38.4340      744.8      2
   78        1       354     403      7.32     -3.7     2.2    -0.7    38.4311    38.4506      744.8      2
   79        1       355     388      7.30     -3.8     2.3    -0.5    38.4478    38.4673      744.8      2
   80        1       350     400      7.28     -3.8     2.4    -0.5    38.4644    38.4840      744.8      2
   81        1       304     385      7.30     -3.9     2.5     0.4    38.4811    38.5006      744.8      2
   82        1       262     373      7.26     -3.9     2.6     0.4    38.4978    38.5174      744.8      3
   83        1       263     354      7.28     -4.0     2.7     0.9    38.5144    38.5339      744.9      3
   84        1       265     368      7.22     -4.1     2.8     0.5    38.5311    38.5505      745.1      3
   85        1       265     370      7.24     -4.1     2.9     1.2    38.5478    38.5672      745.1      3
   86        1       261     362      7.22     -4.2     3.0     1.3    38.5645    38.5840      745.1      3
   87        1       262     373      7.22     -4.2     3.1     0.6    38.5811    38.6006      745.2      3
   88        1       264     367      7.20     -4.2     3.2     0.5    38.5978    38.6173      745.4      3
   89        1       254     375      7.20     -4.2     3.3     1.0    38.6145    38.6339      745.4      3
   90        1       262     361      7.18     -4.2     3.4     0.6    38.6311    38.6506      745.4      3
   91        1       263     357      7.26     -4.2     3.4     0.9    38.6478    38.6672      745.4      3
   92        1       261     369      7.18     -4.3     3.5     0.9    38.6645    38.6839      745.4      3
   93        1       258     373      7.20     -4.4     3.6     1.1    38.6811    38.7005      745.4      3
   94        1       265     371      7.22     -4.4     3.7     0.7    38.6978    38.7173      745.4      3
   95        1       257     369      7.22     -4.5     3.7     0.6    38.7145    38.7339      745.4      3
   96        1       268     361      7.24     -4.5     3.8     0.9    38.7311    38.7506      745.4      3
   97        1       264     375      7.24     -4.5     3.8     0.5    38.7478    38.7673      745.4      3
   98        1       264     375      7.26     -4.4     3.9     0.5    38.7645    38.7840      745.4      3
   99        1       179     318      7.30     -4.3     4.0     0.8    38.7811    38.8006      745.4     -1
  100        1        76     248      7.22     -4.3     4.0     0.6    38.7978    38.8173      745.4      4
  101        1        62     216      7.34     -4.3     4.1     0.9    38.8145    38.8339      745.4      4
  102        1        48     214      7.32     -4.4     4.1     1.3    38.8311    38.8507      745.4      4
  103        1        56     226      7.28     -4.5     4.2     0.8    38.8478    38.8675      745.4      4
  104        1        55     223      7.30     -4.6     4.2     0.9    38.8645    38.8840      745.4      4
  105        1        50     222      7.34     -4.6     4.3     1.2    38.8811    38.9007      745.4      4
  106        1        53     220      7.28     -4.7     4.3     1.1    38.8978    38.9174      745.4      4
  107        1        60     216      7.34     -4.7     4.3     1.5    38.9145    38.9340      745.4      4
  108        1        61     213      7.34     -4.7     4.4     1.6    38.9311    38.9508      745.4      4
  109        1        48     211      7.36     -4.7     4.4     1.9    38.9478    38.9673      745.4      4
  110        1        55     226      7.30     -4.7     4.5     1.2    38.9645    38.9840      745.4      4
  111        1        57     220      7.30     -4.7     4.5     0.9    38.9812    39.0009      745.4      4
  112        1        56     221      7.30     -4.8     4.6     1.1    38.9978    39.0176      745.4      4
  113        1        58     217      7.32     -4.9     4.6     1.3    39.0145    39.0341      745.4      4
  114        1        52     217      7.32     -4.9     4.7     1.4    39.0312    39.0508      745.4      4
  115        1        56     215      7.30     -5.0     4.7     1.5    39.0478    39.0675      745.4      4
  116        1        54     213      7.32     -5.1     4.7     1.7    39.0645    39.0842      745.4      4
  117        1        52     212      7.30     -5.1     4.7     1.8    39.0812    39.1008      745.4      4
  118        1        83     281      7.32     -5.1     4.7     2.1    39.0978    39.1172      745.4     -1
  119        1       156     409      7.32     -5.1     4.8     1.6    39.1145    39.1341      745.4      5
  120        1       173     401      7.36     -5.2     4.8     1.6    39.1312    39.1505      745.4      5
  121        1       177     402      7.34     -5.2     4.8     1.7    39.1478    39.1674      745.4      5
  122        1       174     410      7.32     -5.2     4.9     2.0    39.1645    39.1839      745.4      5
  123        1       175     408      7.38     -5.1     4.9     1.9    39.1812    39.2005      745.4      5
  124        1       168     416      7.38     -5.0     4.9     2.1    39.1978    39.2173      745.4      5
  125        1       178     419      7.36     -5.0     4.9     1.8    39.2145    39.2339      745.4      5
  126        1       178     418      7.38     -5.0     4.9     1.8    39.2312    39.2508      745.4      5
  127        1       178     424      7.38     -5.0     4.9     1.4    39.2478    39.2674      745.4      5
  128        1       171     405      7.42     -5.0     4.9     1.7    39.2645    39.2841      745.4      5
  129        1       175     403      7.44     -5.0     4.9     2.1    39.2812    39.3005      745.4      5
  130        1       176     398      7.46     -5.0     4.8     2.2    39.2978    39.3175      745.4      5
  131        1       299     406      7.46     -4.9     4.8     2.2    39.3145    39.3340      745.4     -1
  132        1       484     370      7.44     -4.8     4.8     2.1    39.3312    39.3506      745.6     -1
  133        1       596     351      7.46     -4.6     4.8     2.2    39.3478    39.3672      745.6      6
  134        1       587     369      7.42     -4.5     4.8     1.7    39.3645    39.3840      745.6      6
  135        1       580     342      7.44     -4.3     4.8     1.7    39.3812    39.4007      745.6      6
  136        1       578     346      7.46     -4.1     4.8     1.9    39.3978    39.4174      745.6      6
  137        1       573     347      7.44     -3.9     4.8     1.8    39.4145    39.4340      745.6      6
  138        1       581     352      7.42     -3.7     4.7     2.2    39.4312    39.4507      745.6      6
  139        1       581     355      7.44     -3.5     4.7     2.0    39.4478    39.4673      745.6      6
  140        1       573     352      7.42     -3.3     4.7     2.1    39.4645    39.4840      745.6      6
  141        1       582     361      7.42     -3.1     4.8     1.9    39.4812    39.5007      745.6      6
  142        1       578     375      7.42     -2.9     4.8     1.4    39.4978    39.5174      745.6      6
  143        1       580     383      7.46     -2.7     4.8     0.9    39.5145    39.5340      745.6      6
  144        1       581     378      7.42     -2.5     4.8     0.7    39.5312    39.5505      745.6      6
  145        1       582     375      7.44     -2.3     4.8     0.4    39.5479    39.5674      745.6      6
  146        1       576     354      7.52     -2.1     4.8     0.7    39.5645    39.5841      745.6      6
  147        1       582     353      7.48     -1.9     4.8     1.0    39.5812    39.6008      745.7      6
  148        1       577     358      7.54     -1.7     4.8     1.1    39.5979    39.6175      745.7      6
  149        1       578     365      7.52     -1.5     4.8     1.1    39.6145    39.6339      745.7      6
  150        1       575     355      7.58     -1.3     4.7     2.1    39.6312    39.6506      745.7      6
  151        1       568     357      7.58     -1.2     4.7     2.5    39.6479    39.6674      745.7      6
  152        1       568     359      7.58     -1.0     4.7     2.6    39.6645    39.6840      745.7      6
  153        1       637     371      7.60     -0.9     4.7     2.2    39.6812    39.7007      745.8      6
  154        1       710     356      7.66     -0.7     4.6     2.1    39.6979    39.7173      746.2      7
  155        1       712     354      7.64     -0.5     4.6     1.9    39.7145    39.7340      746.3      7
  156        1       715     358      7.64     -0.4     4.6     1.8    39.7312    39.7507      746.3      7
  157        1       717     371      7.64     -0.3     4.5     1.6    39.7479    39.7675      746.3      7
  158        1       710     371      7.66     -0.2     4.5     1.3    39.7645    39.7840      746.3      7
  159        1       714     368      7.68     -0.1     4.5     1.5    39.7812    39.8008      746.3      7
  160        1       714     371      7.68      0.0     4.5     1.6    39.7979    39.8173      746.3      7
  161        1       717     371      7.68      0.1     4.5     1.4    39.8145    39.8340      746.3      7
  162        1       711     372      7.68      0.2     4.5     1.0    39.8312    39.8506      746.3      7
  163        1       711     375      7.66      0.3     4.5     0.9    39.8479    39.8674      746.3      7
  164        1       709     378      7.70      0.5     4.5     0.8    39.8645    39.8840      746.3      7
  165        1       709     376      7.72      0.6     4.5     0.8    39.8812    39.9008      746.3      7
  166        1       710     372      7.74      0.7     4.5     1.4    39.8979    39.9175      746.3      7
  167        1       706     366      7.78      0.8     4.5     2.3    39.9145    39.9341      746.3      7
  168        1       698     368      7.78      0.9     4.5     2.6    39.9312    39.9508      746.3      7
  169        1       689     388      7.72      1.0     4.4     1.4    39.9479    39.9673      746.4      7
  170        1       626     530      7.84      1.1     4.4     0.4    39.9645    39.9840      747.1      8
  171        1       625     565      7.86      1.2     4.3     0.2    39.9812    40.0008      747.5      8
  172        1       626     592      7.88      1.3     4.3     0.1    39.9979    40.0174      747.4      8
