Presented Phrase: never too rich and never too thin
Entered Phrase: never too rich and never too thin
Index    Letter       Time       Seconds      Xpos       YPos   
0          n         0         31.404        906        556
1          e         551         31.955        320        268
2          v         1135         32.539        586        556
3          e         1639         33.043        320        268
4          r         1927         33.331        480        268
5          _         2519         33.923        320        700
6          t         2959         34.363        640        268
7          o         3471         34.875        1280        268
8          o         3767         35.171        1280        268
9          _         4359         35.763        320        700
10          r         5071         36.475        480        268
11          i         5719         37.123        1120        268
12          c         6279         37.683        426        556
13          h         6646         38.05        853        412
14          _         7590         38.994        320        700
15          a         8150         39.554        53        412
16          n         8758         40.162        906        556
17          d         9430         40.834        373        412
18          _         10086         41.49        320        700
19          n         10510         41.914        906        556
20          e         11054         42.458        320        268
21          v         11623         43.027        586        556
22          e         12039         43.443        320        268
23          r         12303         43.707        480        268
24          _         12879         44.283        320        700
25          t         13295         44.699        640        268
26          o         13847         45.251        1280        268
27          o         14135         45.539        1280        268
28          setting         14695         46.099        0        844
29          _         16111         47.515        320        700
30          t         16863         48.267        640        268
31          h         17143         48.547        853        412
32          i         17567         48.971        1120        268
33          n         18023         49.427        906        556
34          enter         19199         50.603        1493        412
