fixindx    X     Y     SacDur  FixDur  FixStart
    0      526   361      0        7        0
    1      396   360      0       27        7
    2      684   617      2       26       36
    3      475   362      2       12       64
    4      398   372      0       14       76
    5       28   188      2       34       92
    6      690   615      4       18      130
    7      683   340      1       35      149
    8     1321   341      3       48      187
    9     1055   697      2       11      237
   10      977   609      0       12      248
   11      879   384      1        8      261
   12      743   349      0       15      269
   13      562   333      4       18      288
   14     1224   345      2       37      308
   15      615   585      2       15      347
   16      516   599      0       12      362
   17      898   470      1       22      375
   18      230   191      2        9      399
   19      157   191      0       12      408
   20      224    92      0       15      420
   21      355   495      2       30      437
   22      195   474      0       26      467
   23      804   596      3       14      496
   24      934   597      0       11      510
   25      698   478      1       17      522
   26      464   479      0       37      539
   27      635   612      1       16      577
   28      794   588      0       14      593
   29      947   574      0       23      607
   30      572   357      2       13      632
   31      423   335      0       19      645
   32      600   542      1       10      665
   33      745   589      0        9      675
   34      647   582      0       10      684
   35      508   340      1       20      695
   36      306   192      1       17      716
   37      374   106      0       16      733
   38      666   639      3       14      752
   39      767   379      1       37      767
   40     1324   339      3       50      807
   41      948   628      3       18      860
   42      875   465      1       17      879
   43      756   363      0       12      896
   44      399   190      2       77      910
   45      732   384      1       17      988
   46      911   443      0       26     1005
   47     1155   344      1       16     1032
   48      949   596      6       32     1054
   49      446   190      3       23     1089
   50      415    93      0       16     1112
   51     1532   415      5       13     1133
   52     1031   434      7       17     1153
   53      922   496      0       32     1170
   54      686   262      1       22     1203
   55      810   412      1       13     1226
   56      950   440      1       36     1240
   57      951   497      0       47     1276
   58     1849    39      4       33     1327
   59      962   448      4       13     1364
   60      903   474      0       30     1377
