Presented Phrase: never too rich and never too thin
Entered Phrase: never too rich and never too thin
Index    Letter       Time       Seconds      Xpos       YPos   
0          y         0         38.569        800        268
1          bksp         1319         39.888        1600        268
2          n         2344         40.913        906        556
3          e         3368         41.937        320        268
4          v         4069         42.638        586        556
5          e         4811         43.38        320        268
6          r         5392         43.961        480        268
7          _         6093         44.662        320        700
8          y         6725         45.294        800        268
9          bksp         7983         46.552        1600        268
10          t         9057         47.626        640        268
11          o         9769         48.338        1280        268
12          o         10924         49.493        1280        268
13          _         11577         50.146        320        700
14          r         12448         51.017        480        268
15          i         13367         51.936        1120        268
16          d         14038         52.607        373        412
17          bksp         15217         53.786        1600        268
18          c         16351         54.92        426        556
19          h         17032         55.601        853        412
20          _         17751         56.32        320        700
21          n         18571         57.14        906        556
22          bksp         20016         58.585        1600        268
23          a         20984         59.553        53        412
24          n         21867         60.436        906        556
25          d         23830         62.399        373        412
26          _         24801         63.37        320        700
27          n         26046         64.615        906        556
28          d         27179         65.748        373        412
29          bksp         28098         66.667        1600        268
30          e         29166         67.735        320        268
31          v         29939         68.508        586        556
32          e         30805         69.374        320        268
33          r         31825         70.394        480        268
34          b         32575         71.144        746        556
35          _         33000         71.569        320        700
36          bksp         34458         73.027        1600        268
37          bksp         35017         73.586        1600        268
38          _         36425         74.994        320        700
39          y         37002         75.571        800        268
40          bksp         38276         76.845        1600        268
41          t         39222         77.791        640        268
42          o         40170         78.739        1280        268
43          p         40886         79.455        1440        268
44          bksp         41636         80.205        1600        268
45          o         42758         81.327        1280        268
46          _         43709         82.278        320        700
47          y         44400         82.969        800        268
48          bksp         45217         83.786        1600        268
49          y         46049         84.618        800        268
50          bksp         46855         85.424        1600        268
51          bksp         48521         87.09        1600        268
52          e         49238         87.807        320        268
53          setting         50142         88.711        0        844
54          _         50994         89.563        320        700
55          bksp         52571         91.14        1600        268
56          bksp         53287         91.856        1600        268
57          _         54304         92.873        320        700
58          y         54929         93.498        800        268
59          bksp         55924         94.493        1600        268
60          y         56427         94.996        800        268
61          bksp         57170         95.739        1600        268
62          t         57643         96.212        640        268
63          j         58686         97.255        1013        412
64          bksp         59916         98.485        1600        268
65          h         60554         99.123        853        412
66          i         61693         100.262        1120        268
67          n         62394         100.963        906        556
68          enter         64854         103.423        1493        412
