Gazepoint Trace Data File,  07:11:14  03/30/2017 
sampindx  EyeFound   XPos   YPos   PupilDiam    EyeX    EyeY   EyeZ   GazeTiSec   RpTiSec   FoucsRange    FixIndx
    0        1       918     390     10.02      4.4     3.2    -1.3    38.1002    38.2062        0.0      0
    1        1       919     395     10.00      4.3     3.2    -0.9    38.1085    38.2097        0.0      0
    2        1       918     397     10.00      4.3     3.2    -0.7    38.1168    38.2098        0.0      0
    3        1       918     400     10.03      4.2     3.2    -0.8    38.1252    38.2099        0.0      0
    4        1       924     399     10.02      4.2     3.2    -0.6    38.1335    38.2100        0.0      0
    5        1       922     400     10.03      4.1     3.2     0.2    38.1418    38.2101        0.0      0
    6        1       921     398     10.02      4.0     3.2     0.1    38.1502    38.2102        0.0      0
    7        1       917     400     10.03      4.0     3.2     0.7    38.1585    38.2103        0.0      0
    8        1       917     403     10.04      4.0     3.2     0.8    38.1668    38.2103        0.0      0
    9        1       921     397     10.04      4.0     3.1     1.0    38.1752    38.2104        0.0      0
   10        1       922     396     10.03      4.0     3.0     0.9    38.1835    38.2106        0.0      0
   11        1       923     389      9.94      3.9     2.9    -0.5    38.1918    38.2122        0.0      0
   12        1       916     393      9.94      3.9     2.9    -0.3    38.2002    38.2198        0.0      0
   13        1       919     399     10.01      3.9     2.9    -0.1    38.2085    38.2279        0.0      0
   14        1       922     413     10.01      3.8     2.9    -0.0    38.2168    38.2364        0.0      0
   15        1       921     413      9.94      3.8     2.9    -0.8    38.2252    38.2445        0.0      0
   16        1       923     398      9.96      3.8     2.8    -0.5    38.2335    38.2530        0.0      0
   17        1       923     401     10.00      3.7     2.8    -0.2    38.2418    38.2612        0.0      0
   18        1       919     410      9.99      3.7     2.7    -0.1    38.2502    38.2696        0.0      0
   19        1       922     414     10.00      3.6     2.7     0.5    38.2585    38.2779        0.0      0
   20        1       924     401     10.02      3.6     2.7     0.9    38.2668    38.2864        0.0      0
   21        1       919     399      9.95      3.5     2.7     0.5    38.2752    38.2945        0.0      0
   22        1       918     412      9.95      3.4     2.7     0.9    38.2835    38.3029        0.0      0
   23        1       922     412      9.96      3.3     2.7     0.8    38.2918    38.3111        0.0      0
   24        1       925     403      9.95      3.2     2.6     0.7    38.3002    38.3198        0.0      0
   25        1       924     398      9.97      3.1     2.6     0.9    38.3085    38.3279        0.0      0
   26        1       920     408      9.97      3.0     2.7     0.7    38.3169    38.3364        0.0      0
   27        1       921     418     10.01      2.9     2.7     1.5    38.3252    38.3445        0.0      0
   28        1       924     407     10.02      2.8     2.7     1.4    38.3335    38.3533        0.0      0
   29        1       922     408     10.00      2.7     2.7     1.8    38.3419    38.3612        0.0      0
   30        1       918     406     10.00      2.6     2.7     1.6    38.3502    38.3698        0.0      0
   31        1       919     402     10.02      2.5     2.6     2.3    38.3585    38.3781        0.0      0
   32        1       920     396     10.03      2.4     2.6     2.8    38.3669    38.3864        0.0      0
   33        1       923     380      9.95      2.3     2.6     1.8    38.3752    38.3945        0.0      0
   34        1       923     391      9.93      2.3     2.6     2.0    38.3835    38.4032        0.0      0
   35        1       920     406      9.94      2.2     2.6     1.9    38.3919    38.4113        0.0      0
   36        1       922     401      9.91      2.1     2.5     1.6    38.4002    38.4198        0.0      0
   37        1       925     404      9.91      2.0     2.5     2.3    38.4085    38.4279        0.0      0
   38        1       926     397      9.89      1.9     2.5     2.7    38.4169    38.4365        0.0      0
   39        1       923     389      9.81      1.8     2.5     2.5    38.4252    38.4446        0.0      0
   40        1       921     398      9.76      1.7     2.5     2.6    38.4335    38.4531        0.0      0
   41        1       920     403      9.67      1.6     2.5     1.8    38.4419    38.4612        0.0      0
   42        1       922     404      9.59      1.5     2.5     1.5    38.4502    38.4698        0.0      0
   43        1       923     402      9.53      1.4     2.5     1.3    38.4585    38.4780        0.0      0
   44        1       921     395      9.50      1.2     2.5     1.7    38.4669    38.4864        0.0      0
   45        1       921     395      9.39      1.1     2.5     1.3    38.4752    38.4945        0.0      0
   46        1       924     393      9.28      1.0     2.5     1.0    38.4835    38.5032        0.0      0
   47        1       923     405      9.21      0.9     2.5     1.2    38.4919    38.5113        0.0      0
   48        1       924     407      9.14      0.7     2.6     1.2    38.5002    38.5196        0.0      0
   49        1       927     408      9.11      0.6     2.6     2.4    38.5085    38.5279        0.0      0
   50        1       904     412      9.03      0.4     2.7     2.1    38.5169    38.5363        0.0      0
   51        1       837     374      8.89      0.3     2.7     2.0    38.5252    38.5448        0.0      1
   52        1       802     325      8.80      0.1     2.7     1.7    38.5335    38.5531        0.0      1
   53        1       789     322      8.70     -0.0     2.7     1.4    38.5419    38.5615        0.0      1
   54        1       780     327      8.64     -0.2     2.7     1.3    38.5502    38.5696        0.0      1
   55        1       786     315      8.60     -0.3     2.7     1.3    38.5585    38.5779        0.0      1
   56        1       787     310      8.52     -0.5     2.8     1.2    38.5669    38.5869        0.0      1
   57        1       789     320      8.46     -0.7     2.8     1.8    38.5752    38.5945        0.0      1
   58        1       788     310      8.41     -0.8     2.9     1.7    38.5835    38.6029        0.0      1
   59        1       793     311      8.29     -1.0     2.9     1.3    38.5919    38.6113        0.0      1
   60        1       793     322      8.22     -1.2     2.9     1.2    38.6002    38.6195        0.0      1
   61        1       794     325      8.16     -1.4     3.0     1.0    38.6085    38.6280        0.0      1
   62        1       793     315      8.11     -1.5     3.0     1.0    38.6169    38.6365        0.0      1
   63        1       797     309      8.06     -1.7     3.1     0.6    38.6252    38.6446        0.0      1
   64        1       795     307      8.00     -2.0     3.2     0.6    38.6335    38.6532        0.0      1
   65        1       729     304      7.94     -2.2     3.2     0.3    38.6419    38.6613        0.0     -1
   66        1       639     286      7.86     -2.5     3.3     0.3    38.6502    38.6695        0.0     -1
   67        1       489     248      7.82     -2.8     3.2     0.6    38.6585    38.6779        0.0     -1
   68        1       396     206      7.79     -3.2     3.2     0.5    38.6669    38.6865        0.0     -1
   69        1       304     191      7.76     -3.5     3.1     0.8    38.6752    38.6946        0.0     -1
   70        1       219     178      7.74     -3.8     3.2     1.1    38.6835    38.7029        0.0      2
   71        1       156     174      7.74     -4.2     3.1     1.3    38.6919    38.7114        0.0      2
   72        1       133     164      7.69     -4.6     3.1     1.6    38.7002    38.7196        0.0      2
   73        1       155     157      7.66     -5.0     2.9     1.7    38.7085    38.7279        0.0      2
   74        1       146     174      7.63     -5.4     3.0     1.8    38.7169    38.7364        0.0      2
