fixindx    X     Y     SacDur  FixDur  FixStart
    0      921   401      0       51        0
    1      794   320      0       14       51
    2      146   173      5       21       70
    3       63   110      0       31       91
    4     1712   332     13       24      135
    5     1789   374      0       80      159
    6     1114   663      5       37      244
    7     1006   614      0       60      281
    8      757   392      4       35      345
    9      589   324      0       25      380
   10      421   354      0       81      405
   11      750   614      3       30      489
   12      681   631      0       53      519
   13      446   369      3       73      575
   14      577   334      0       77      648
   15      800   759      4       51      729
   16      868   749      0       25      780
   17      768   323      3       95      808
   18      133   162      4       22      907
   19     1725   320     10       20      939
   20     1776   380      0       72      959
   21      715   387      7       25     1038
   22      768   309      0      105     1063
   23     1421   328      5      117     1173
   24     1424   331     12       81     1302
   25      897   729      5       63     1388
   26      843   608      0       16     1451
   27      621   373      2       27     1469
   28      550   362      0       26     1496
   29      624   347      0       52     1522
   30     1188   309      3       27     1577
   31     1272   317      0       76     1604
   32      416   513      6       46     1686
   33      474   483      0       35     1732
   34      652   580      2       14     1769
   35     1779   360      8      117     1791
   36      380   206      8       20     1916
   37      197   221      1       21     1937
   38      536   643      5       79     1963
   39      968   461      3       84     2045
   40      943   727      2       88     2131
   41     1031   634      0       88     2219
   42      315   166      5       54     2312
   43     1721   329      9       28     2375
   44     1794   381      0       74     2403
   45      248   529     10       22     2487
   46      144   476      0       79     2509
   47      925   587      5       19     2593
   48     1034   609     13       72     2625
   49      776   491      2       18     2699
   50      655   499      0       24     2717
   51      465   481      0       84     2741
   52      271   234      2       32     2827
   53      472   471      2       81     2861
   54      289   220      2       25     2944
   55      862   698      8       48     2977
   56      927   729      0       21     3025
   57      885   642      0       14     3046
   58     1035   614     13       24     3073
   59      961   723      0       29     3097
   60     1013   599      1       76     3127
   61      347   262      5       35     3208
   62      603   454      2       17     3245
   63      439   376      0       85     3262
   64      360   232      0       15     3347
   65     1744   350      9       83     3371
   66      391   210      8       24     3462
   67      352   263      0       14     3486
   68      453   361      0       71     3500
   69      529   560      2       18     3573
   70      682   601      0       81     3591
   71      471   350      2       90     3674
   72      341   218      0       36     3764
   73      533   311      2       19     3802
   74      597   322      0       65     3821
   75      774   312      0       20     3886
   76      804   729      4      120     3910
   77      401   238      4       52     4034
   78     1698   340     11       15     4097
   79     1759   368     12      124     4124
   80     1786   368     14       20     4262
   81      477   277      8       19     4290
   82      389   229      0       38     4309
   83      592   365      1       17     4348
   84      876   743      6       67     4371
   85      780   343      3       74     4441
   86      375   240      3       52     4518
   87     1625   302     11       12     4581
   88     1772   354      1       65     4594
   89      708   378      6       25     4665
   90      789   315      0       99     4690
   91     1349   307      4       28     4793
   92     1430   329      0       73     4821
   93     1428   346     12       65     4906
   94     1571   345      0       23     4971
   95     1783   361      1       90     4995
   96      456   255      9       30     5094
   97     1418   346      6       82     5130
   98     1014   783      5       30     5217
   99      949   764      0       70     5247
  100      888   577      2        8     5319
  101      780   335      2       90     5329
  102     1751   311      8       67     5427
  103      893   336      6       27     5500
  104      783   330      0       83     5527
  105     1811   317      8       57     5618
  106      808   332      7       72     5682
  107      938   309      0       39     5754
  108     1760   349      6       28     5799
  109     1808   378      0       55     5827
  110      459   243      8       76     5890
  111     1121   887     11       41     5977
  112     1018   852      0      100     6018
  113      992   712      0       59     6118
  114      428   237      5       94     6182
  115     1530   311      9       21     6285
  116     1768   367      3       68     6309
  117     1789   364      9       84     6386
  118      476   246      8       33     6478
  119      945   708      5       73     6516
  120      789   321      4       55     6593
  121      854   346      0       17     6648
  122      459   234      3       34     6668
  123     1771   351      9       54     6711
  124      779   365      7       80     6772
  125     1766   336      9       50     6861
  126      757   348      7       77     6918
  127     1091   493      2       25     6997
  128     1160   434      0       20     7022
  129     1004   457      0      101     7042
  130      453   228      4       34     7147
  131     1776   343      8       71     7189
  132      973   452      5       73     7265
  133     1319   342      3       28     7341
  134     1417   333      0       34     7369
  135     1260   333      0       80     7403
  136     1049   601      2       84     7485
  137      514   224      4       40     7573
  138      306   225      2       29     7615
  139      166   224      0       31     7644
  140      232   219      0       24     7675
  141      347   210      0       43     7699
  142      466   212      0       12     7742
  143     1663   424      9       20     7763
  144     1699   495      0      111     7783
  145     1007   527      4       86     7898
  146      986   476      0       25     7984
  147     1865    79     12       47     8021
  148     1090   440      4       35     8072
  149     1035   467      0       22     8107
  150     1023   527      0      113     8129
  151     1969    14      9       90     8251
  152      470   237     13       20     8354
