Presented Phrase: so much pollution that breathing is difficult
Entered Phrase: so  much pollution that breathing is difficult
Index    Letter       Time       Seconds      Xpos       YPos   
0          bksp         0         73.057        1600        268
1          s         1240         74.297        213        412
2          o         2866         75.923        1280        268
3          _         3741         76.798        320        700
4          _         4297         77.354        320        700
5          m         5541         78.598        1066        556
6          u         6332         79.389        960        268
7          c         7317         80.374        426        556
8          h         8241         81.298        853        412
9          _         9157         82.214        320        700
10          o         10364         83.421        1280        268
11          bksp         11291         84.348        1600        268
12          p         12150         85.207        1440        268
13          o         13084         86.141        1280        268
14          l         14809         87.866        1333        412
15          l         15807         88.864        1333        412
16          u         16990         90.047        960        268
17          t         17810         90.867        640        268
18          i         19024         92.081        1120        268
19          o         19866         92.923        1280        268
20          n         20749         93.806        906        556
21          _         24133         97.19        320        700
22          t         26734         99.791        640        268
23          h         27574         100.631        853        412
24          a         28715         101.772        53        412
25          t         29777         102.834        640        268
26          _         30965         104.022        320        700
27          b         31826         104.883        746        556
28          r         32725         105.782        480        268
29          e         33406         106.463        320        268
30          a         34193         107.25        53        412
31          t         35559         108.616        640        268
32          h         37139         110.196        853        412
33          i         38394         111.451        1120        268
34          n         39281         112.338        906        556
35          g         40324         113.381        693        412
36          _         41252         114.309        320        700
37          i         42900         115.957        1120        268
38          s         45159         118.216        213        412
39          _         46285         119.342        320        700
40          d         47415         120.472        373        412
41          i         48399         121.456        1120        268
42          f         49477         122.534        533        412
43          f         50270         123.327        533        412
44          i         51109         124.166        1120        268
45          c         53134         126.191        426        556
46          u         54074         127.131        960        268
47          l         55166         128.223        1333        412
48          t         56792         129.849        640        268
49          enter         58552         131.609        1493        412
