Presented Phrase: never too rich and never too thin
Entered Phrase: never too rich and never too thin
Index    Letter       Time       Seconds      Xpos       YPos   
0          n         0         132.892        906        556
1          v         3801         136.693        586        556
2          e         4700         137.592        320        268
3          bksp         7023         139.915        1600        268
4          bksp         7866         140.758        1600        268
5          e         9598         142.49        320        268
6          v         10891         143.783        586        556
7          e         12227         145.119        320        268
8          r         13435         146.327        480        268
9          _         15503         148.395        320        700
10          t         16349         149.241        640        268
11          o         17476         150.368        1280        268
12          o         19342         152.234        1280        268
13          _         21120         154.012        320        700
14          r         22433         155.325        480        268
15          i         23411         156.303        1120        268
16          c         24938         157.83        426        556
17          h         25887         158.779        853        412
18          _         26979         159.871        320        700
19          a         28609         161.501        53        412
20          n         29870         162.762        906        556
21          d         30736         163.628        373        412
22          _         32283         165.175        320        700
23          n         33237         166.129        906        556
24          e         34442         167.334        320        268
25          v         36421         169.313        586        556
26          e         38344         171.236        320        268
27          r         39197         172.089        480        268
28          _         40631         173.523        320        700
29          e         41946         174.838        320        268
30          bksp         43578         176.47        1600        268
31          t         44844         177.736        640        268
32          o         45952         178.844        1280        268
33          o         46837         179.729        1280        268
34          _         47947         180.839        320        700
35          t         49955         182.847        640        268
36          h         50904         183.796        853        412
37          i         52024         184.916        1120        268
38          n         52872         185.764        906        556
39          enter         55762         188.654        1493        412
