Presented Phrase: so much pollution that breathing is difficult
Entered Phrase: so much pollution that breathing is difficult
Index    Letter       Time       Seconds      Xpos       YPos   
0          s         0         192.673        213        412
1          o         1661         194.334        1280        268
2          n         2565         195.238        906        556
3          _         4141         196.814        320        700
4          bksp         5218         197.891        1600        268
5          bksp         6083         198.756        1600        268
6          _         7383         200.056        320        700
7          m         8192         200.865        1066        556
8          u         9159         201.832        960        268
9          c         10684         203.357        426        556
10          h         11557         204.23        853        412
11          _         12466         205.139        320        700
12          p         14058         206.731        1440        268
13          o         15201         207.874        1280        268
14          l         16298         208.971        1333        412
15          l         17239         209.912        1333        412
16          u         18326         210.999        960        268
17          t         19157         211.83        640        268
18          i         20012         212.685        1120        268
19          o         20826         213.499        1280        268
20          n         21718         214.391        906        556
21          _         23223         215.896        320        700
22          t         24042         216.715        640        268
23          h         24942         217.615        853        412
24          a         26115         218.788        53        412
25          t         27486         220.159        640        268
26          _         28409         221.082        320        700
27          p         30835         223.508        1440        268
28          o         31634         224.307        1280        268
29          l         32522         225.195        1333        412
30          l         33486         226.159        1333        412
31          u         34335         227.008        960        268
32          bksp         37769         230.442        1600        268
33          bksp         39702         232.375        1600        268
34          bksp         41545         234.218        1600        268
35          bksp         42333         235.006        1600        268
36          bksp         43658         236.331        1600        268
37          b         44679         237.352        746        556
38          r         46833         239.506        480        268
39          e         48537         241.21        320        268
40          a         49579         242.252        53        412
41          t         51227         243.9        640        268
42          h         52145         244.818        853        412
43          i         53979         246.652        1120        268
44          h         54819         247.492        853        412
45          bksp         55857         248.53        1600        268
46          n         56837         249.51        906        556
47          g         57687         250.36        693        412
48          _         59588         252.261        320        700
49          i         60771         253.444        1120        268
50          s         62001         254.674        213        412
51          _         63455         256.128        320        700
52          d         64328         257.001        373        412
53          i         65188         257.861        1120        268
54          f         66431         259.104        533        412
55          f         67095         259.768        533        412
56          i         67920         260.593        1120        268
57          c         69235         261.908        426        556
58          u         70680         263.353        960        268
59          l         72065         264.738        1333        412
60          t         73839         266.512        640        268
61          enter         75821         268.494        1493        412
