fixindx    X     Y     SacDur  FixDur  FixStart
    0     1006   403      0       53        0
    1      937   460      0       49       53
    2      219    42      6       16      108
    3      108  -124      2       13      126
    4     1663   323     11       98      150
    5     1031   592      5       20      253
    6      535   520      3       17      276
    7      394   486      0       19      293
    8      312   465      0      103      312
    9       68   201      4       14      419
   10      875   558      7       10      440
   11     1077   405      1       23      451
   12     1286   317      1       32      475
   13     1352   336      0       99      507
   14      893   777      4      170      610
   15     1129   613      2       32      782
   16     1138   625     12       93      826
   17     1038   340      2       94      921
   18      506   527      4       21     1019
   19      526   623      0      106     1040
   20      941   444      3      106     1149
   21      892   771      2      112     1257
   22     1120   422      4       10     1373
   23     1326   337      1       22     1384
   24     1471   365      0      107     1406
   25     1705   364      1      105     1514
   26     1517   353      1       93     1620
   27     1393   339      0        8     1713
   28     1357   312     11      106     1732
   29     1402   453      0       65     1838
   30     1380   335      0       36     1903
   31     1416   461      0       95     1939
   32     1389   379      0       10     2034
   33     1406   486     15       97     2059
   34     1178   332      1       13     2157
   35     1017   322      0       22     2170
   36      918   350      0        9     2192
   37     1038   340      0       94     2201
   38      719   357      2      100     2297
   39     1330   322      4       43     2401
   40     1221   321      0      102     2444
   41     1350   328      0       85     2546
   42      999   615      3      119     2634
   43      247   192      5       34     2758
   44      222     0      2       22     2794
   45      254    86      0        8     2816
   46      239   186      1       13     2825
   47      158   145      4       31     2842
   48      130    55      0       12     2873
   49       67    68      0       21     2885
   50       86   190      0       52     2906
   51      315   138      3       15     2961
   52      301    81      0        6     2976
   53      767   471     11       59     2993
   54      842   761      2      107     3054
   55      751   368      3       67     3164
   56      843   345      0       10     3231
   57      713   371      0       78     3241
   58      723   350      2       37     3321
   59      734   353     12       98     3370
   60      913   447      3       80     3471
   61      873   387      0       10     3551
   62      218   489      6       18     3567
   63      147   498      0      113     3585
   64      537   368      2       34     3700
   65      735   352      1       74     3735
   66      333   229      3       32     3812
   67      379   125      0       23     3844
   68      815   725      8       90     3875
   69      712   524      2       14     3967
   70      817   603      0       90     3981
   71      684   370      1       17     4072
   72      562   385      0        8     4089
   73      570   404      2       71     4099
   74      421   400      0       45     4170
   75      416   376      2       18     4217
   76      410   363      2       26     4237
   77      117   482      2       86     4265
   78       65   433      0        8     4351
   79      750   347      6       76     4365
   80      754   385      0       56     4441
   81      849   422      0       30     4497
   82      759   370      0       23     4527
   83      460   227      2       19     4552
   84      419   184      2        6     4573
   85      831   449      8        8     4587
   86      855   457      2        6     4597
   87      940   480      0      106     4603
   88     1000   408     11       21     4720
   89     1199   341      0      119     4741
   90     1090   487      0       14     4860
   91      987   607      0       93     4874
   92      957   549     11       15     4978
   93      778   482      0      112     4993
   94      860   770      4      107     5109
   95      522   237      5       22     5221
   96      517   164      0       42     5243
   97      850   367      5        9     5290
   98     1208   332      2      108     5301
   99      342   511      6       66     5415
  100      321   534      2       24     5483
  101      388   565      8        6     5515
  102      312   532      0       50     5521
  103      302   479     10      107     5581
  104      900   806      9       19     5697
  105      896   754      0       96     5716
