Presented Phrase: so much pollution that breathing is difficult
Entered Phrase: so much pollution that breathing is difficult
Index    Letter       Time       Seconds      Xpos       YPos   
0          s         0         29.535        213        412
1          o         887         30.422        1280        268
2          _         1614         31.149        320        700
3          m         2055         31.59        1066        556
4          u         2431         31.966        960        268
5          c         2950         32.485        426        556
6          h         3390         32.925        853        412
7          _         4134         33.669        320        700
8          p         4734         34.269        1440        268
9          o         4982         34.517        1280        268
10          l         5670         35.205        1333        412
11          l         5934         35.469        1333        412
12          u         6374         35.909        960        268
13          t         6894         36.429        640        268
14          i         7294         36.829        1120        268
15          o         7558         37.093        1280        268
16          n         8174         37.709        906        556
17          _         8670         38.205        320        700
18          t         9182         38.717        640        268
19          h         9438         38.973        853        412
20          a         10062         39.597        53        412
21          t         10718         40.253        640        268
22          _         11694         41.229        320        700
23          b         12006         41.541        746        556
24          r         12438         41.973        480        268
25          e         12694         42.229        320        268
26          a         13150         42.685        53        412
27          t         13822         43.357        640        268
28          h         14270         43.805        853        412
29          i         14734         44.269        1120        268
30          n         15175         44.71        906        556
31          g         15527         45.062        693        412
32          _         16215         45.75        320        700
33          i         16934         46.469        1120        268
34          s         17446         46.981        213        412
35          _         17918         47.453        320        700
36          d         18542         48.077        373        412
37          i         19150         48.685        1120        268
38          f         19798         49.333        533        412
39          f         19966         49.501        533        412
40          i         20494         50.029        1120        268
41          c         21102         50.637        426        556
42          u         21710         51.245        960        268
43          l         22526         52.061        1333        412
44          t         23078         52.613        640        268
45          enter         24022         53.557        1493        412
