Presented Phrase: never too rich and never too thin
Entered Phrase: never too rich and never too thin
Index    Letter       Time       Seconds      Xpos       YPos   
0          n         0         55.541        906        556
1          e         528         56.069        320        268
2          v         976         56.517        586        556
3          e         1368         56.909        320        268
4          r         1616         57.157        480        268
5          _         2120         57.661        320        700
6          t         2528         58.069        640        268
7          o         3072         58.613        1280        268
8          o         3360         58.901        1280        268
9          _         4080         59.621        320        700
10          r         5168         60.709        480        268
11          i         5704         61.245        1120        268
12          c         6327         61.868        426        556
13          h         6768         62.309        853        412
14          _         7288         62.829        320        700
15          a         7888         63.429        53        412
16          n         8600         64.141        906        556
17          d         9032         64.573        373        412
18          _         9624         65.165        320        700
19          n         10048         65.589        906        556
20          e         10760         66.301        320        268
21          v         11256         66.797        586        556
22          e         11616         67.157        320        268
23          r         11872         67.413        480        268
24          _         12536         68.077        320        700
25          t         12984         68.525        640        268
26          o         13776         69.317        1280        268
27          o         13952         69.493        1280        268
28          _         14544         70.085        320        700
29          t         15048         70.589        640        268
30          h         15344         70.885        853        412
31          i         15688         71.229        1120        268
32          n         16280         71.821        906        556
33          enter         17424         72.965        1493        412
