Gazepoint Trace Data File,  09:38:00  04/04/2017 
sampindx  EyeFound   XPos   YPos   PupilDiam    EyeX    EyeY   EyeZ   GazeTiSec   RpTiSec   FoucsRange    FixIndx
    0        1       306     481      6.02     -4.9     6.6    -1.7    29.5151    29.5346      750.3      0
    1        1       305     484      6.00     -4.8     6.6    -1.6    29.5318    29.5514      750.3      0
    2        1       308     478      6.02     -4.8     6.6    -1.8    29.5484    29.5678      750.3      0
    3        1       308     477      6.00     -4.7     6.6    -2.4    29.5651    29.5845      750.2      0
    4        1       307     497      6.04     -4.8     6.6    -2.5    29.5818    29.6012      750.2      0
    5        1       307     500      6.02     -4.7     6.6    -2.2    29.5984    29.6179      750.2      0
    6        1       307     494      6.02     -4.6     6.7    -1.8    29.6151    29.6346      749.8      0
    7        1       307     486      6.02     -4.5     6.7    -1.8    29.6318    29.6512      749.7      0
    8        1       306     484      6.02     -4.4     6.7    -1.8    29.6484    29.6678      749.7      0
    9        1       309     482      6.04     -4.3     6.8    -1.6    29.6651    29.6845      749.7      0
   10        1       302     453      6.12     -4.2     6.8    -1.6    29.6818    29.7013      749.7      0
   11        1       285     320      6.10     -4.0     6.8    -1.0    29.6985    29.7179      749.7     -1
   12        1       319     305      6.04     -3.7     6.9    -1.1    29.7151    29.7345      749.7     -1
   13        1       412     311      6.02     -3.4     6.9    -1.0    29.7318    29.7513      749.7     -1
   14        1       601     293      6.08     -2.9     6.9    -1.5    29.7485    29.7678      749.7     -1
   15        1       800     275      6.10     -2.2     6.9    -1.3    29.7651    29.7847      749.7     -1
   16        1      1002     310      6.06     -1.4     6.8    -1.0    29.7818    29.8013      749.7     -1
   17        1      1145     302      6.04     -0.4     6.8    -1.2    29.7985    29.8181      749.7     -1
   18        1      1225     308      6.04      0.6     6.7    -1.3    29.8151    29.8349      749.7      1
   19        1      1237     294      6.00      1.7     6.7    -1.3    29.8318    29.8514      749.7      1
   20        1      1241     317      6.00      2.8     6.7    -1.4    29.8485    29.8678      749.7      1
   21        1      1207     323      5.98      3.9     6.7    -1.5    29.8651    29.8845      749.7      1
   22        1      1189     329      5.98      4.8     6.7    -1.0    29.8818    29.9013      749.7      1
   23        1      1173     317      5.94      5.4     6.7    -1.3    29.8985    29.9179      749.7      1
   24        1      1201     307      6.00      6.1     6.7    -2.1    29.9151    29.9345      749.7      1
   25        1      1208     323      5.98      6.2     6.7    -1.6    29.9318    29.9515      749.7      1
   26        1      1208     312      5.96      6.1     6.6    -1.4    29.9485    29.9680      749.6      1
   27        1      1306     365      5.98      5.8     6.5    -0.9    29.9651    29.9847      749.1      2
   28        1      1327     341      5.92      5.5     6.4    -0.7    29.9818    30.0014      749.0      2
   29        1      1336     356      6.00      5.2     6.3    -0.2    29.9985    30.0181      749.0      2
   30        1      1334     341      5.92      5.1     6.2    -0.4    30.0151    30.0347      749.0      2
   31        1      1328     352      5.94      5.1     6.1    -0.3    30.0318    30.0513      749.0      2
   32        1      1330     347      5.92      5.2     5.9    -0.3    30.0485    30.0680      749.0      2
   33        1      1331     340      5.96      5.3     5.8    -0.0    30.0651    30.0847      749.0      2
   34        1      1337     353      5.96      5.2     5.7     0.0    30.0818    30.1014      749.0      2
   35        1      1335     346      5.98      5.2     5.7     0.7    30.0985    30.1179      749.0      2
   36        1      1337     345      5.98      5.1     5.6     0.7    30.1151    30.1346      749.0      2
   37        1      1339     341      6.04      5.0     5.5     0.9    30.1318    30.1513      749.0      2
   38        1      1334     347      6.02      4.8     5.5     0.6    30.1485    30.1679      749.0      2
   39        1      1338     347      5.96      4.7     5.4    -0.4    30.1651    30.1847      749.0      2
   40        1      1331     348      6.06      4.4     5.4    -0.4    30.1818    30.2012      749.0      2
   41        1      1339     351      6.08      4.2     5.4    -0.6    30.1985    30.2179      749.0      2
   42        1      1335     351      6.08      4.1     5.3    -0.4    30.2151    30.2347      748.7      2
   43        1      1333     353      6.12      4.0     5.3    -0.3    30.2318    30.2514      748.7      2
   44        1      1338     348      6.08      3.9     5.3    -0.4    30.2485    30.2680      748.7      2
   45        1      1335     357      6.08      4.0     5.2    -0.3    30.2651    30.2846      748.7      2
   46        1      1338     343      6.06      4.0     5.2    -0.7    30.2818    30.3015      748.7      2
   47        1      1339     355      6.12      4.1     5.2     0.1    30.2985    30.3181      748.7      2
   48        1      1335     340      6.10      4.2     5.1    -0.4    30.3152    30.3348      748.7      2
   49        1      1335     342      6.12      4.2     5.1    -1.0    30.3318    30.3513      748.7      2
   50        1      1339     344      6.16      4.1     5.1    -0.8    30.3485    30.3679      748.7      2
   51        1      1341     346      6.10      4.0     5.0    -1.4    30.3652    30.3846      748.7      2
   52        1      1337     348      6.16      3.9     5.0    -1.1    30.3818    30.4013      748.7      2
   53        1      1338     362      6.14      3.9     5.0    -0.9    30.3985    30.4178      748.7      2
   54        1      1335     360      6.14      3.9     5.0    -0.8    30.4152    30.4348      748.6      2
   55        1      1336     358      6.12      3.9     4.9    -0.7    30.4318    30.4514      748.7      2
   56        1      1332     362      6.14      4.0     4.9    -0.7    30.4485    30.4681      748.7      2
   57        1      1314     397      5.94      4.3     5.1    -3.2    30.4652    30.4848      748.7      2
   58        0         0       0      0.00      0.0     0.0     0.0    0.0000    0.0000        0.0     -1
   59        0         0       0      0.00      0.0     0.0     0.0    0.0000    0.0000        0.0     -1
   60        0         0       0      0.00      0.0     0.0     0.0    0.0000    0.0000        0.0     -1
   61        0         0       0      0.00      0.0     0.0     0.0    0.0000    0.0000        0.0     -1
   62        1      1019     628      5.84      2.8     5.1    -0.4    30.5485    30.5679      748.1      3
   63        1      1020     681      6.28      2.7     5.1    -0.2    30.5652    30.5846      748.1      3
   64        1      1013     626      6.22      2.6     5.0    -0.4    30.5818    30.6012      748.1      3
   65        1      1015     636      6.22      2.3     4.9    -0.9    30.5985    30.6179      748.1      3
   66        1      1010     654      6.16      2.0     4.9    -0.6    30.6152    30.6346      748.1      3
   67        1      1006     633      6.12      1.8     4.8    -1.0    30.6318    30.6512      748.1      3
   68        1      1011     629      6.16      1.6     4.8    -1.8    30.6485    30.6680      748.1      3
   69        1      1013     638      6.12      1.4     4.7    -1.8    30.6652    30.6847      748.1      3
   70        1      1004     651      6.16      1.2     4.7    -1.4    30.6818    30.7014      748.0      3
   71        1      1015     624      6.12      1.0     4.5    -1.5    30.6985    30.7180      747.5      3
   72        1      1010     650      6.14      0.8     4.5    -1.1    30.7152    30.7346      747.1      3
   73        1      1007     636      6.14      0.7     4.4    -1.1    30.7318    30.7512      747.1      3
   74        1      1012     628      6.12      0.5     4.3    -1.3    30.7485    30.7678      747.1      3
   75        1      1014     655      6.18      0.4     4.2    -0.7    30.7652    30.7846      747.1      3
   76        1      1014     634      6.18      0.3     4.1    -0.7    30.7818    30.8013      747.1      3
   77        1      1015     635      6.14      0.2     4.0    -0.7    30.7985    30.8179      747.1      3
   78        1      1010     625      6.16      0.1     3.9    -1.1    30.8152    30.8346      747.0      3
   79        1      1013     640      6.24      0.0     3.7    -0.7    30.8319    30.8514      747.0      3
   80        1      1013     614      6.20     -0.1     3.6    -1.2    30.8485    30.8679      747.0      3
   81        1      1012     639      6.22     -0.1     3.5    -0.9    30.8652    30.8847      747.0      3
   82        1      1014     617      6.26     -0.1     3.3    -1.6    30.8819    30.9013      747.0      3
   83        1      1010     612      6.26     -0.2     3.2    -1.6    30.8985    30.9179      747.0      3
   84        1      1011     635      6.28     -0.2     3.1    -1.2    30.9152    30.9346      747.0      3
   85        1      1007     640      6.24     -0.2     3.0    -1.2    30.9319    30.9512      746.9      3
   86        1      1012     621      6.24     -0.2     2.9    -1.8    30.9485    30.9678      746.9      3
   87        1      1009     613      6.24     -0.2     2.8    -2.5    30.9652    30.9847      746.9      3
   88        1      1013     626      6.24     -0.2     2.8    -3.6    30.9819    31.0013      746.9      3
   89        1      1007     630      6.20     -0.2     2.7    -4.2    30.9985    31.0180      746.5      3
   90        1      1009     634      6.24     -0.2     2.7    -4.4    31.0152    31.0346      745.7      3
   91        1      1012     649      6.26     -0.2     2.6    -3.4    31.0319    31.0512      744.1      3
   92        1      1016     655      6.28     -0.3     2.6    -2.4    31.0485    31.0680      743.0      3
   93        1      1083     634      6.18     -0.2     2.6    -1.9    31.0652    31.0847      742.5      4
   94        1      1143     610      6.14     -0.2     2.5    -1.5    31.0819    31.1014      742.4      4
   95        1      1138     603      6.20     -0.2     2.5    -1.0    31.0985    31.1179      742.4      4
   96        1      1136     596      6.12     -0.2     2.5    -0.8    31.1152    31.1347      742.4      4
   97        1      1136     600      6.20     -0.2     2.5    -0.6    31.1319    31.1512      742.4      4
   98        1      1140     600      6.14     -0.1     2.5    -0.7    31.1485    31.1680      742.4      4
   99        1      1139     592      6.12     -0.1     2.5    -0.7    31.1652    31.1846      742.3      4
  100        1      1137     591      6.12     -0.0     2.5    -0.7    31.1819    31.2013      742.2      4
  101        1      1138     589      6.10      0.1     2.5    -0.5    31.1985    31.2180      742.2      4
  102        1      1136     596      6.12      0.2     2.5    -0.4    31.2152    31.2346      742.2      4
  103        1      1137     615      6.14      0.3     2.5    -0.1    31.2319    31.2513      742.2      4
  104        1      1140     599      6.04      0.4     2.4    -0.5    31.2485    31.2680      742.2      4
  105        1      1137     580      6.12      0.5     2.4    -0.4    31.2652    31.2847      742.2      4
  106        1      1138     594      6.10      0.7     2.3    -0.4    31.2819    31.3013      742.2      4
  107        1      1137     617      6.06      0.9     2.3    -0.3    31.2985    31.3179      742.2      4
  108        1      1138     618      6.10      1.1     2.2    -0.4    31.3152    31.3347      742.2      4
  109        1      1120     575      6.16      1.3     2.2    -0.3    31.3319    31.3514      742.2      4
  110        1      1064     515      6.12      1.4     2.2     0.2    31.3485    31.3680      742.2     -1
  111        1      1038     391      6.12      1.5     2.2    -0.0    31.3652    31.3846      742.2      5
  112        1      1031     407      6.08      1.7     2.2    -0.1    31.3819    31.4013      742.2      5
  113        1      1036     413      6.06      1.8     2.2     0.1    31.3985    31.4182      742.2      5
  114        1      1033     415      6.06      1.9     2.2     0.2    31.4152    31.4347      742.2      5
  115        1      1030     419      6.06      2.1     2.1     0.1    31.4319    31.4514      742.2      5
  116        1      1031     415      6.08      2.2     2.1    -0.2    31.4485    31.4680      742.2      5
  117        1      1037     407      6.08      2.3     2.1    -0.1    31.4652    31.4847      742.2      5
  118        1      1037     415      6.10      2.4     2.1    -0.1    31.4819    31.5014      742.2      5
  119        1      1034     426      6.06      2.5     2.1    -0.2    31.4985    31.5181      742.2      5
  120        1      1042     421      6.06      2.6     2.1    -0.0    31.5152    31.5349      742.2      5
  121        1      1045     421      6.06      2.7     2.1     0.2    31.5319    31.5514      742.2      5
  122        1      1043     423      6.04      2.7     2.1     0.2    31.5486    31.5681      742.2      5
  123        1      1041     422      6.04      2.8     2.1     0.2    31.5652    31.5848      742.2      5
  124        1      1045     411      6.02      2.9     2.1     0.1    31.5819    31.6014      742.2      5
  125        1      1036     403      6.02      2.9     2.1    -0.1    31.5986    31.6181      742.2      5
  126        1      1036     398      6.00      3.0     2.1    -0.1    31.6152    31.6348      742.2      5
  127        1      1041     397      5.98      3.0     2.1    -0.2    31.6319    31.6514      742.2      5
  128        1      1039     400      6.02      3.0     2.2    -0.1    31.6486    31.6680      742.2      5
  129        1      1043     406      6.02      3.0     2.2    -0.2    31.6652    31.6848      742.2      5
  130        1      1041     406      6.02      3.0     2.2    -0.5    31.6819    31.7014      742.2      5
  131        1      1040     403      6.02      3.0     2.2    -0.6    31.6986    31.7182      742.2      5
  132        1      1034     400      6.00      3.0     2.2    -0.6    31.7152    31.7347      742.2      5
  133        1      1038     406      6.04      2.9     2.2    -0.2    31.7319    31.7516      742.2      5
  134        1      1034     409      6.02      2.9     2.2    -0.5    31.7486    31.7681      742.2      5
  135        1      1034     419      6.00      2.9     2.3    -0.3    31.7652    31.7847      742.2      5
  136        1      1034     411      6.02      2.8     2.3    -0.1    31.7819    31.8013      742.2      5
  137        1      1031     408      6.00      2.8     2.3    -0.1    31.7986    31.8181      742.2      5
  138        1      1034     400      5.98      2.7     2.4    -0.2    31.8152    31.8349      742.2      5
  139        1      1033     403      6.00      2.6     2.4    -0.1    31.8319    31.8513      742.2      5
  140        1       949     460      5.96      2.5     2.4    -0.5    31.8486    31.8680      742.2     -1
  141        1       794     501      5.92      2.4     2.4    -1.1    31.8652    31.8848      742.2      6
  142        1       744     515      6.00      2.2     2.4    -0.8    31.8819    31.9015      742.2      6
  143        1       743     535      5.98      2.1     2.4    -0.4    31.8986    31.9181      742.2      6
  144        1       735     538      5.98      1.9     2.3    -0.2    31.9152    31.9346      742.4      6
  145        1       734     538      5.94      1.7     2.3     0.5    31.9319    31.9515      742.4      6
  146        1       732     540      5.98      1.5     2.3     0.4    31.9486    31.9682      742.4      6
  147        1       727     524      5.98      1.2     2.3     0.3    31.9652    31.9848      742.4      6
  148        1       729     532      5.88      1.0     2.4     0.1    31.9819    32.0014      742.4      6
  149        1       687     561      5.86      0.6     2.4     0.4    31.9986    32.0181      742.4      6
  150        1       624     605      6.00      0.2     2.5    -0.0    32.0152    32.0347      742.4      7
  151        1       624     583      5.92     -0.3     2.5     0.4    32.0319    32.0515      742.2      7
  152        1       620     566      5.96     -0.7     2.6     0.2    32.0486    32.0680      742.2      7
  153        1       624     594      5.92     -1.2     2.7    -0.0    32.0653    32.0847      742.2      7
  154        1       625     599      5.94     -1.7     2.7     0.1    32.0819    32.1015      742.2      7
  155        1       624     574      5.98     -2.2     2.8    -0.3    32.0986    32.1180      742.2      7
  156        1       621     607      5.92     -2.7     2.9    -0.4    32.1153    32.1347      742.2      7
  157        1       620     601      5.96     -3.2     3.0     0.0    32.1319    32.1514      742.2      7
  158        1       622     575      5.96     -3.4     3.1    -0.1    32.1486    32.1680      742.2      7
  159        1       571     592      5.92     -3.8     3.1    -0.2    32.1653    32.1847      742.2      7
  160        1       532     588      5.98     -4.0     3.2    -0.6    32.1819    32.2013      742.2      8
  161        1       524     587      5.96     -4.1     3.2    -0.5    32.1986    32.2180      742.2      8
  162        1       525     584      5.96     -4.1     3.2    -0.7    32.2153    32.2349      742.2      8
  163        1       526     583      6.00     -4.1     3.2    -0.8    32.2319    32.2516      742.2      8
  164        1       524     582      5.98     -4.1     3.3    -0.9    32.2486    32.2681      742.2      8
  165        1       522     605      5.94     -4.1     3.3    -1.4    32.2653    32.2847      742.2      8
  166        1       522     618      5.92     -4.2     3.3    -2.1    32.2819    32.3016      742.2      8
  167        1       518     620      5.92     -4.2     3.4    -2.1    32.2986    32.3181      742.2      8
  168        1       525     618      5.98     -4.2     3.4    -2.3    32.3153    32.3348      742.3      8
  169        1       525     608      5.92     -4.1     3.4    -2.0    32.3319    32.3516      742.1      8
  170        1       526     612      5.94     -4.0     3.4    -1.7    32.3486    32.3681      742.0      8
  171        1       523     613      5.96     -3.9     3.5    -1.2    32.3653    32.3849      742.0      8
  172        1       521     611      5.96     -4.0     3.5    -0.9    32.3819    32.4016      742.0      8
  173        1       520     608      5.96     -3.9     3.5    -0.6    32.3986    32.4181      742.0      8
  174        1       518     610      5.94     -4.0     3.5    -0.0    32.4153    32.4348      742.0      8
  175        1       522     609      5.96     -4.0     3.5     0.1    32.4319    32.4514      742.0      8
  176        1       661     558      5.98     -4.1     3.5    -0.1    32.4486    32.4682      742.0     -1
  177        1       834     531      5.94     -4.0     3.6     0.3    32.4653    32.4846      742.0     -1
  178        1       908     488      6.00     -3.8     3.6     0.0    32.4819    32.5015      742.0      9
  179        1       909     496      5.96     -3.6     3.7     0.1    32.4986    32.5181      742.0      9
  180        1       904     483      5.90     -3.4     3.8    -0.8    32.5153    32.5347      742.0      9
  181        1       904     487      5.90     -3.2     3.8    -0.8    32.5319    32.5516      742.0      9
  182        1       905     483      5.88     -3.0     3.8    -1.5    32.5486    32.5681      742.0      9
