fixindx    X     Y     SacDur  FixDur  FixStart
    0      306   483      0       11        0
    1     1209   314      7        9       18
    2     1333   351      0       31       27
    3     1011   635      4       31       62
    4     1133   600      0       17       93
    5     1036   409      1       29      111
    6      736   531      1        9      141
    7      617   589      0       10      150
    8      523   603      0       16      160
    9      903   495      2       18      178
   10      158   273      3       13      199
   11       79   194      0        9      212
   12      155    25      1       13      222
   13      564   575      3       15      238
   14     1378   352      4       55      257
   15     1022   330      1       10      313
   16      904   330      0        8      323
   17     1321   432      2       17      333
   18     1081   352      1       19      351
   19      955   340      0       11      370
   20      760   340      1       35      382
   21     1178   348      2       31      419
   22      984   598      1       19      451
   23      223   234      6       22      476
   24      289   118      0       23      498
   25      737   366      2       38      523
   26      809   418      0        9      561
   27      349   394      2        8      572
   28      213   461      0       28      580
   29      647   351      2       18      610
   30      348   187      6       21      634
   31      387   116      0        8      655
   32      685   686      4       13      667
   33      813   616      0       31      680
   34      701   385      1        7      712
   35      575   361      0       18      719
   36      445   360      0       18      737
   37      298   410      1       11      756
   38      180   446      0       24      767
   39      745   379      2       18      793
   40      875   400      7       29      818
   41      943   460      0       17      847
   42     1157   362      1       14      865
   43     1041   498      1       12      880
   44      896   510      0       13      892
   45      786   479      0       19      905
   46      469   206      2       24      926
   47      525   142      0       15      950
   48      468   227      0       23      965
   49     1147   380      3       28      991
   50      298   502      3       27     1022
   51      415   505      0        9     1049
   52      595   680      6       14     1064
   53      477   452      1       41     1079
   54     1214   347      3       19     1123
   55      807   471      2       10     1144
   56      639   484      0       44     1154
   57     1121   338      2       22     1200
   58      722   611      2       17     1224
   59      624   633      0       15     1241
   60      905   486      1       21     1257
   61     1065   376      1       11     1279
   62      634   211      1       37     1291
   63     1305   446      3       13     1331
   64      905   327      5       12     1349
   65      790   331      0        9     1361
   66      718   340      0       10     1370
   67      645   235      0       20     1380
   68      310   223      1       10     1401
   69     1559   465      5       18     1416
   70      519   200      4       12     1438
   71     1068   491      2       13     1452
   72      917   508      0       15     1465
   73      934   629      0       16     1480
   74      153   129      4       16     1500
   75      953   585     15       25     1531
   76      493   360      2       27     1558
   77      613   558      1       28     1586
   78      550   351      5       46     1619
   79      648   683      2       14     1667
   80      721   350      2       30     1683
   81     1186   337      2       12     1715
   82     1268   342      0       41     1727
   83      961   606      1       15     1769
   84      853   598      0       13     1784
   85      936   587      0       14     1797
   86      109    84      4       26     1815
   87      450   340      2        9     1843
   88      567   354      1       15     1853
   89     1059   340      2       25     1870
   90      768   569      1       11     1896
   91      521   609      4       30     1911
   92      841   483      2       18     1943
   93      910   493      0       16     1961
   94      894   716      1       22     1978
   95      288   482      3       11     2003
   96      196   485      0       10     2014
   97      508   501      1       19     2025
   98      948   603      1       24     2045
   99      492   466      7       19     2076
  100      305   198      1       17     2096
  101      335   133      0       13     2113
  102      700   606      3       11     2129
  103      899   618      1       18     2141
  104      436   394      1       25     2160
  105      480   526      0       13     2185
  106      626   603      9       31     2207
  107      522   352      1       14     2239
  108      377   239      0       15     2253
  109      408   112      0       13     2268
  110      366   220      0       13     2281
  111      617   517      1       17     2295
  112      754   352      1       36     2313
  113     1238   349      2       16     2351
  114     1265   351      9       25     2376
  115      966   671      2       18     2403
  116      919   425      1       18     2422
  117      841   374      0       20     2440
  118      926   452      0       21     2460
  119     1144   384      0       29     2481
  120      967   587      0       11     2510
  121      488   221      5       28     2526
  122      453   140      0        8     2554
  123      119   196      1        9     2563
  124     1510   448      6       19     2578
  125      251   173      5       19     2602
  126      120   109      0       15     2621
  127      915   562      3       17     2639
  128      961   652      0       13     2656
  129      955   512      1       29     2670
  130      750   538      1       10     2700
  131      763   538      5       10     2715
  132      972   425      1       35     2726
  133      769   404      1       46     2762
  134      103   118      3       13     2811
  135       61   108      0        8     2824
  136      289   487      2       30     2834
  137     1270   351      4       22     2868
  138     1275   335      7        8     2897
