Presented Phrase: it is not the king that sends you to the Tower
Entered Phrase: it is not the king that sends you to the tower
Index    Letter       Time       Seconds      Xpos       YPos   
0          i         0         30.434        1120        268
1          t         1207         31.641        640        268
2          _         2089         32.523        320        700
3          i         4142         34.576        1120        268
4          s         5217         35.651        213        412
5          _         6717         37.151        320        700
6          n         7543         37.977        906        556
7          o         8668         39.102        1280        268
8          t         9823         40.257        640        268
9          _         11074         41.508        320        700
10          t         12084         42.518        640        268
11          h         12991         43.425        853        412
12          e         13967         44.401        320        268
13          _         15366         45.8        320        700
14          k         16246         46.68        1173        412
15          i         17209         47.643        1120        268
16          n         18217         48.651        906        556
17          g         19167         49.601        693        412
18          _         20138         50.572        320        700
19          t         21741         52.175        640        268
20          h         22599         53.033        853        412
21          a         23492         53.926        53        412
22          t         24589         55.023        640        268
23          _         26647         57.081        320        700
24          s         27500         57.934        213        412
25          e         28265         58.699        320        268
26          n         29340         59.774        906        556
27          d         30201         60.635        373        412
28          s         31307         61.741        213        412
29          _         33160         63.594        320        700
30          y         34325         64.759        800        268
31          o         35276         65.71        1280        268
32          u         36165         66.599        960        268
33          _         38148         68.582        320        700
34          t         40269         70.703        640        268
35          o         41957         72.391        1280        268
36          _         42951         73.385        320        700
37          t         44301         74.735        640        268
38          h         45076         75.51        853        412
39          e         46227         76.661        320        268
40          _         47950         78.384        320        700
41          t         48933         79.367        640        268
42          o         49892         80.326        1280        268
43          w         51290         81.724        160        268
44          e         52643         83.077        320        268
45          r         53459         83.893        480        268
46          enter         56634         87.068        1493        412
