Presented Phrase: please provide your sex and date of birth
Entered Phrase: please provide your sex and date of birth
Index    Letter       Time       Seconds      Xpos       YPos   
0          h         0         95.627        853        412
1          bksp         2368         97.995        1600        268
2          p         3899         99.526        1440        268
3          l         5824         101.451        1333        412
4          e         7287         102.914        320        268
5          a         8269         103.896        53        412
6          s         10096         105.723        213        412
7          e         11504         107.131        320        268
8          _         13067         108.694        320        700
9          p         16545         112.172        1440        268
10          r         18625         114.252        480        268
11          o         19825         115.452        1280        268
12          v         20851         116.478        586        556
13          i         22287         117.914        1120        268
14          d         23794         119.421        373        412
15          e         27969         123.596        320        268
16          _         29494         125.121        320        700
17          y         30407         126.034        800        268
18          o         31309         126.936        1280        268
19          u         32179         127.806        960        268
20          r         34092         129.719        480        268
21          _         35198         130.825        320        700
22          s         36062         131.689        213        412
23          e         36978         132.605        320        268
24          x         37835         133.462        266        556
25          _         38803         134.43        320        700
26          a         40330         135.957        53        412
27          n         41397         137.024        906        556
28          d         42361         137.988        373        412
29          _         43918         139.545        320        700
30          d         45347         140.974        373        412
31          a         46174         141.801        53        412
32          t         47156         142.783        640        268
33          e         47962         143.589        320        268
34          _         49215         144.842        320        700
35          o         50397         146.024        1280        268
36          f         51636         147.263        533        412
37          _         52966         148.593        320        700
38          b         53890         149.517        746        556
39          i         54879         150.506        1120        268
40          r         56919         152.546        480        268
41          t         57698         153.325        640        268
42          h         58998         154.625        853        412
43          enter         61415         157.042        1493        412
