Presented Phrase: if we do not succeed we run the risk of failure
Entered Phrase: if we do not succeed we run the risk of failure
Index    Letter       Time       Seconds      Xpos       YPos   
0          i         0         160.263        1120        268
1          f         1163         161.426        533        412
2          _         2078         162.341        320        700
3          w         3936         164.199        160        268
4          e         5486         165.749        320        268
5          _         6999         167.262        320        700
6          d         8312         168.575        373        412
7          o         9263         169.526        1280        268
8          _         10148         170.411        320        700
9          n         11060         171.323        906        556
10          o         12062         172.325        1280        268
11          t         13189         173.452        640        268
12          _         14112         174.375        320        700
13          s         15669         175.932        213        412
14          u         16740         177.003        960        268
15          c         18415         178.678        426        556
16          c         19399         179.662        426        556
17          e         27307         187.57        320        268
18          e         29423         189.686        320        268
19          d         30521         190.784        373        412
20          _         31765         192.028        320        700
21          w         32783         193.046        160        268
22          e         33829         194.092        320        268
23          _         34787         195.05        320        700
24          r         35833         196.096        480        268
25          u         36711         196.974        960        268
26          n         38054         198.317        906        556
27          _         38934         199.197        320        700
28          t         40498         200.761        640        268
29          h         41414         201.677        853        412
30          e         42213         202.476        320        268
31          _         43124         203.387        320        700
32          r         44249         204.512        480        268
33          i         45250         205.513        1120        268
34          s         46264         206.527        213        412
35          k         47147         207.41        1173        412
36          _         48023         208.286        320        700
37          o         49569         209.832        1280        268
38          f         50610         210.873        533        412
39          _         51648         211.911        320        700
40          f         52656         212.919        533        412
41          a         53431         213.694        53        412
42          i         54910         215.173        1120        268
43          l         57025         217.288        1333        412
44          y         58001         218.264        800        268
45          bksp         59194         219.457        1600        268
46          u         61543         221.806        960        268
47          r         65110         225.373        480        268
48          e         66959         227.222        320        268
49          enter         68810         229.073        1493        412
