Gazepoint Trace Data File,  09:44:21  04/04/2017 
sampindx  EyeFound   XPos   YPos   PupilDiam    EyeX    EyeY   EyeZ   GazeTiSec   RpTiSec   FoucsRange    FixIndx
    0        1       947     324      6.27      0.5     2.6     3.2    28.2792    28.3901        0.0      0
    1        1       946     320      6.27      0.4     2.5     3.1    28.2876    28.3909        0.0      0
    2        1       946     319      6.28      0.2     2.5     3.0    28.2959    28.3910        0.0      0
    3        1       940     312      6.28      0.1     2.4     3.4    28.3042    28.3910        0.0      0
    4        1       939     319      6.27     -0.0     2.4     3.3    28.3126    28.3911        0.0      0
    5        1       937     314      6.29     -0.2     2.3     4.1    28.3209    28.3911        0.0      0
    6        1       937     313      6.31     -0.3     2.3     4.3    28.3292    28.3912        0.0      0
    7        1       937     331      6.31     -0.5     2.3     4.3    28.3376    28.3912        0.0      0
    8        1       936     327      6.31     -0.6     2.3     4.3    28.3459    28.3913        0.0      0
    9        1       933     327      6.32     -0.8     2.2     4.3    28.3542    28.3913        0.0      0
   10        1       935     330      6.29     -0.9     2.2     4.1    28.3626    28.3914        0.0      0
   11        1       933     339      6.27     -1.1     2.2     4.0    28.3709    28.3915        0.0      0
   12        1       933     332      6.30     -1.2     2.2     3.8    28.3793    28.4003        0.0      0
   13        1       933     312      6.31     -1.4     2.1     3.4    28.3876    28.4079        0.0      0
   14        1       932     315      6.32     -1.6     2.0     3.5    28.3959    28.4154        0.0      0
   15        1       934     311      6.34     -1.7     1.9     3.3    28.4043    28.4240        0.0      0
   16        1       934     314      6.31     -1.9     1.8     3.1    28.4126    28.4319        0.0      0
   17        1       935     315      6.33     -2.1     1.7     3.2    28.4209    28.4406        0.0      0
   18        1       931     311      6.35     -2.2     1.7     3.0    28.4293    28.4484        0.0      0
   19        1       933     320      6.34     -2.4     1.6     3.0    28.4376    28.4572        0.0      0
   20        1       938     324      6.34     -2.6     1.6     2.9    28.4459    28.4650        0.0      0
   21        1       940     314      6.36     -2.7     1.5     3.0    28.4543    28.4739        0.0      0
   22        1       935     320      6.34     -2.9     1.4     2.9    28.4626    28.4821        0.0      0
   23        1       935     333      6.33     -3.0     1.3     2.9    28.4709    28.4906        0.0      0
   24        1       935     329      6.37     -3.2     1.3     2.8    28.4793    28.4987        0.0      0
   25        1       936     336      6.35     -3.3     1.2     2.8    28.4876    28.5072        0.0      0
   26        1       938     332      6.32     -3.5     1.2     2.7    28.4959    28.5155        0.0      0
   27        1       938     330      6.31     -3.6     1.1     2.4    28.5043    28.5240        0.0      0
   28        1       936     338      6.34     -3.7     1.0     2.3    28.5126    28.5319        0.0      0
   29        1       925     347      6.37     -3.8     0.9     2.2    28.5210    28.5406        0.0      0
   30        1       923     344      6.39     -3.9     0.8     2.2    28.5293    28.5489        0.0      0
   31        1       924     337      6.40     -4.0     0.7     2.3    28.5376    28.5573        0.0      0
   32        1       925     332      6.38     -4.1     0.7     2.1    28.5460    28.5653        0.0      0
   33        1       916     340      6.39     -4.1     0.5     1.8    28.5543    28.5739        0.0      0
   34        1       915     338      6.43     -4.1     0.4     1.7    28.5626    28.5821        0.0      0
   35        1       925     325      6.45     -4.2     0.3     1.8    28.5710    28.5905        0.0      0
   36        1       930     325      6.42     -4.2     0.2     1.8    28.5793    28.5985        0.0      0
   37        1       930     305      6.43     -4.2     0.0     1.8    28.5876    28.6072        0.0      0
   38        1       928     317      6.44     -4.2    -0.1     1.7    28.5960    28.6154        0.0      0
   39        1       929     308      6.42     -4.2    -0.2     1.3    28.6043    28.6239        0.0      0
   40        1       927     302      6.43     -4.2    -0.3     1.7    28.6126    28.6319        0.0      0
   41        1       921     301      6.42     -4.2    -0.5     1.5    28.6210    28.6407        0.0      0
   42        1       922     299      6.40     -4.2    -0.6     1.7    28.6293    28.6489        0.0      0
   43        1       921     313      6.40     -4.2    -0.8     1.9    28.6376    28.6574        0.0      0
   44        1       921     314      6.36     -4.2    -0.9     1.8    28.6460    28.6653        0.0      0
   45        1       924     319      6.31     -4.2    -1.0     1.8    28.6543    28.6741        0.0      0
   46        1       920     310      6.27     -4.2    -1.1     1.3    28.6626    28.6818        0.0      0
   47        1       916     313      6.26     -4.2    -1.3     1.5    28.6710    28.6907        0.0      0
   48        1       917     319      6.23     -4.2    -1.4     1.5    28.6793    28.6989        0.0      0
   49        1       925     326      6.16     -4.2    -1.5     1.5    28.6876    28.7073        0.0      0
   50        1       874     339      6.12     -4.2    -1.6     1.4    28.6960    28.7152        0.0      0
   51        1       824     368      6.11     -4.2    -1.8     0.8    28.7043    28.7241        0.0      1
   52        1       821     357      6.11     -4.3    -1.9     0.6    28.7126    28.7319        0.0      1
   53        1       821     361      6.14     -4.4    -2.0     0.8    28.7210    28.7407        0.0      1
   54        1       820     380      6.09     -4.4    -2.0     0.8    28.7293    28.7484        0.0      1
   55        1       826     377      6.02     -4.4    -2.2     0.8    28.7376    28.7572        0.0      1
   56        1       822     375      5.98     -4.4    -2.2     0.8    28.7460    28.7653        0.0      1
   57        1       820     355      6.00     -4.5    -2.3     1.7    28.7543    28.7739        0.0      1
   58        1       820     341      5.97     -4.5    -2.4     1.6    28.7626    28.7818        0.0      1
   59        1       823     329      5.92     -4.5    -2.4     1.8    28.7710    28.7906        0.0      1
   60        1       824     324      5.94     -4.5    -2.4     1.6    28.7793    28.7985        0.0      1
   61        1       825     325      5.92     -4.6    -2.5     1.8    28.7877    28.8074        0.0      1
