fixindx    X     Y     SacDur  FixDur  FixStart
    0      929   322      0       51        0
    1      819   349      0       17       51
    2      133   106      5       20       73
    3       43    89      0       41       93
    4     1197   299     13       35      147
    5     1177   357      0      101      182
    6      701   356      3       25      286
    7      591   355      0       16      311
    8      707   335      0      102      327
    9      847   747      3      104      432
   10     1258   358     16       30      552
   11      885   693      3       17      585
   12      140   169      6       19      608
   13       66   192      0       25      627
   14     1191   349      7      124      659
   15      355   467      6       19      789
   16      263   495      0       99      808
   17       73   137      4       14      911
   18      102   212      0       12      925
   19      893   770     14      119      951
   20      978   638      0      119     1070
   21     1329   373      3      120     1192
   22      850   369      4       17     1316
   23      727   381      0       26     1333
   24      725   353      2       85     1361
   25      189   144      4       51     1450
   26      846   795     10      101     1511
   27      725   380     20      107     1632
   28      930   461      2       99     1741
   29      485   359      3       15     1843
   30      375   375      0      106     1858
   31      857   781      7      150     1971
   32     1209   454     11      115     2132
   33     1175   380      0       97     2247
   34      994   572      1       23     2345
   35      953   634      0      112     2368
   36      762   497      1      113     2481
   37      783   763      3       62     2597
   38      842   774      0       31     2659
   39      259   213      5       34     2695
   40      283   103      0       31     2729
   41      649   389      5       26     2765
   42      720   339      0       90     2791
   43      916   465     13      101     2894
   44      144   492      6       30     3001
   45      126   472      6       12     3037
   46      135   484      2       42     3051
   47      177   491      0        7     3093
   48      510   355      2       25     3102
   49      708   339      0       96     3127
   50      444   131      2       32     3225
   51      363   175      0       28     3257
   52      816   749      7       75     3292
   53      870   783     13       97     3380
   54      256   531      5       29     3482
   55      300   499      0       61     3511
   56      420   356      0       89     3572
   57      897   581      3       39     3664
   58      986   619      0       98     3703
   59      444   514      5      101     3806
   60      276   499      0      122     3907
   61      433   121      4       38     4033
   62      383   204      0       23     4071
   63      848   719     12       40     4106
   64      813   785      0       15     4146
   65      882   769      0       93     4161
   66      865   366      3      134     4257
   67     1370   357      5      115     4396
   68     1035   341     11       99     4522
   69      471   141      5       40     4626
   70      594   115      0       17     4666
   71      882   783      8       56     4691
   72      857   775     13       88     4760
   73      796   335      3       26     4851
   74      710   355      0       59     4877
   75      468   220      1       42     4937
   76      510   156      0       14     4979
   77      712   329      1      120     4994
   78     1321   366      6       67     5120
   79     1206   353      0       30     5187
   80     1353   372      0      100     5217
   81      848   757     16      104     5333
   82      841   331      3       20     5440
   83      731   345      0       25     5460
   84      716   331     13       91     5498
   85      923   468      2       98     5591
   86      414   343      3      119     5692
   87      542    94      2       28     5813
   88      562   168      0       31     5841
   89      825   778      8       43     5880
   90      879   769     13       93     5936
   91      817   412      3       22     6032
   92      729   385      0       89     6054
   93     1247   355      4       10     6147
   94     1247   381      2       10     6159
   95     1348   363      0       92     6169
   96      425   408     11       17     6272
   97      401   367      2       27     6291
   98      236   341      0       93     6318
   99      368   338     18       45     6429
  100      412   368      5       18     6479
  101      409   374      2       96     6499
  102      551   333      0      112     6595
  103      591   211      0       13     6707
  104      132   221      4       17     6724
  105       44   229      0       21     6741
  106      213   156      0       33     6762
  107      318   207      0       43     6795
  108      435   215      0       27     6838
  109      407    95     18       13     6883
  110      290    61      0       49     6896
  111     1644   441     11       23     6956
  112     1629   521      0      164     6979
  113     1051   562      3       26     7146
  114      932   597      0       51     7172
  115      620   210      3       19     7226
  116      926   561      3       30     7248
  117      828   344      1       28     7279
  118      978   376      0       66     7307
  119      946   677      2      129     7375
  120      946   402      1       50     7505
  121      877   341      5       25     7560
  122      167   224      5       18     7590
  123       31   153      1       17     7609
  124      106   -24      2       18     7628
  125     1669   385     13       71     7659
  126     1667   464      0       17     7730
  127     1700   422      8       26     7755
  128     1645   453     10       23     7791
  129     1628   509      0      137     7814
  130      975   519      5       49     7956
  131      963   442      0      111     8005
  132      132   -60      6       24     8122
  133       43  -144      0       14     8146
  134     1764   359     14       23     8174
