Presented Phrase: it is not the king that sends you to the Tower
Entered Phrase: it is not the king that sends you to the tower
Index    Letter       Time       Seconds      Xpos       YPos   
0          i         0         63.059        1120        268
1          t         1215         64.274        640        268
2          _         1935         64.994        320        700
3          i         2671         65.73        1120        268
4          s         3415         66.474        213        412
5          _         3927         66.986        320        700
6          n         4303         67.362        906        556
7          o         4975         68.034        1280        268
8          t         5535         68.594        640        268
9          _         6254         69.313        320        700
10          t         6766         69.825        640        268
11          h         7102         70.161        853        412
12          e         7566         70.625        320        268
13          _         8238         71.297        320        700
14          k         8767         71.826        1173        412
15          i         9031         72.09        1120        268
16          _         9503         72.562        320        700
17          bksp         10607         73.666        1600        268
18          n         11343         74.402        906        556
19          g         11671         74.73        693        412
20          _         12303         75.362        320        700
21          t         12799         75.858        640        268
22          h         13079         76.138        853        412
23          a         13583         76.642        53        412
24          t         14079         77.138        640        268
25          _         14719         77.778        320        700
26          s         15167         78.226        213        412
27          e         15415         78.474        320        268
28          n         15855         78.914        906        556
29          d         16503         79.562        373        412
30          s         16751         79.81        213        412
31          _         17279         80.338        320        700
32          y         17791         80.85        800        268
33          o         18279         81.338        1280        268
34          u         18663         81.722        960        268
35          _         19327         82.386        320        700
36          t         19791         82.85        640        268
37          o         20247         83.306        1280        268
38          _         20727         83.786        320        700
39          t         21167         84.226        640        268
40          h         21431         84.49        853        412
41          e         21943         85.002        320        268
42          _         22574         85.633        320        700
43          t         22950         86.009        640        268
44          o         23486         86.545        1280        268
45          w         24110         87.169        160        268
46          e         24334         87.393        320        268
47          e         24542         87.601        320        268
48          bksp         25486         88.545        1600        268
49          r         26046         89.105        480        268
50          enter         27087         90.146        1493        412
