Presented Phrase: watch out for low flying objects
Entered Phrase: watch out for low flying objects
Index    Letter       Time       Seconds      Xpos       YPos   
0          w         0         92.058        160        268
1          a         312         92.37        53        412
2          t         784         92.842        640        268
3          h         1544         93.602        853        412
4          _         2264         94.322        320        700
5          bksp         3336         95.394        1600        268
6          bksp         3504         95.562        1600        268
7          c         4320         96.378        426        556
8          h         4640         96.698        853        412
9          _         5008         97.066        320        700
10          o         5512         97.57        1280        268
11          u         5912         97.97        960        268
12          t         6336         98.394        640        268
13          _         7128         99.186        320        700
14          f         7480         99.538        533        412
15          o         7968         100.026        1280        268
16          r         8455         100.513        480        268
17          _         9080         101.138        320        700
18          l         9647         101.705        1333        412
19          i         10056         102.114        1120        268
20          bksp         10807         102.865        1600        268
21          o         11359         103.417        1280        268
22          w         12015         104.073        160        268
23          _         12727         104.785        320        700
24          f         13095         105.153        533        412
25          l         13671         105.729        1333        412
26          y         14455         106.513        800        268
27          i         15176         107.234        1120        268
28          n         15584         107.642        906        556
29          g         15856         107.914        693        412
30          _         16464         108.522        320        700
31          o         17096         109.154        1280        268
32          b         17576         109.634        746        556
33          j         17864         109.922        1013        412
34          r         18312         110.37        480        268
35          bksp         19280         111.338        1600        268
36          e         19936         111.994        320        268
37          c         20360         112.418        426        556
38          t         20688         112.746        640        268
39          s         21096         113.154        213        412
40          enter         22720         114.778        1493        412
