Presented Phrase: if at first you do not succeed try try again
Entered Phrase: if at first you do not succeed try try again
Index    Letter       Time       Seconds      Xpos       YPos   
0          i         0         118.441        1120        268
1          f         568         119.009        533        412
2          _         1160         119.601        320        700
3          a         1680         120.121        53        412
4          t         2104         120.545        640        268
5          _         2824         121.265        320        700
6          f         3152         121.593        533        412
7          i         3592         122.033        1120        268
8          r         4144         122.585        480        268
9          s         4528         122.969        213        412
10          t         5160         123.601        640        268
11          _         5753         124.194        320        700
12          y         6153         124.594        800        268
13          o         6609         125.05        1280        268
14          u         6873         125.314        960        268
15          _         7337         125.778        320        700
16          d         7817         126.258        373        412
17          o         8345         126.786        1280        268
18          _         8873         127.314        320        700
19          n         9193         127.634        906        556
20          o         9649         128.09        1280        268
21          t         10177         128.618        640        268
22          _         10841         129.282        320        700
23          s         11369         129.81        213        412
24          u         11937         130.378        960        268
25          c         12369         130.81        426        556
26          c         12537         130.978        426        556
27          e         12897         131.338        320        268
28          e         13233         131.674        320        268
29          d         13497         131.938        373        412
30          _         14065         132.506        320        700
31          t         14513         132.954        640        268
32          r         15152         133.593        480        268
33          y         15560         134.001        800        268
34          _         16184         134.625        320        700
35          t         16576         135.017        640        268
36          r         16824         135.265        480        268
37          y         17216         135.657        800        268
38          _         17776         136.217        320        700
39          a         18760         137.201        53        412
40          g         19192         137.633        693        412
41          a         19616         138.057        53        412
42          i         20168         138.609        1120        268
43          n         20536         138.977        906        556
44          enter         21528         139.969        1493        412
