Presented Phrase: please provide your sex and date of birth
Entered Phrase: please provide your sex and date of birth
Index    Letter       Time       Seconds      Xpos       YPos   
0          p         0         144.802        1440        268
1          l         280         145.082        1333        412
2          e         880         145.682        320        268
3          a         1216         146.018        53        412
4          s         1432         146.234        213        412
5          e         1656         146.458        320        268
6          _         2383         147.185        320        700
7          p         2928         147.73        1440        268
8          t         3496         148.298        640        268
9          bksp         4175         148.977        1600        268
10          r         4735         149.537        480        268
11          o         5471         150.273        1280        268
12          v         6039         150.841        586        556
13          i         6487         151.289        1120        268
14          d         7055         151.857        373        412
15          e         7351         152.153        320        268
16          _         8159         152.961        320        700
17          y         8831         153.633        800        268
18          o         9295         154.097        1280        268
19          u         9671         154.473        960        268
20          r         10111         154.913        480        268
21          _         10775         155.577        320        700
22          s         11191         155.993        213        412
23          e         11519         156.321        320        268
24          x         11863         156.665        266        556
25          _         12543         157.345        320        700
26          a         13719         158.521        53        412
27          _         14448         159.25        320        700
28          bksp         15480         160.282        1600        268
29          n         15968         160.77        906        556
30          d         16392         161.194        373        412
31          _         16904         161.706        320        700
32          d         17312         162.114        373        412
33          a         17640         162.442        53        412
34          t         18040         162.842        640        268
35          e         18744         163.546        320        268
36          _         19463         164.265        320        700
37          o         19983         164.785        1280        268
38          f         20535         165.337        533        412
39          _         21103         165.905        320        700
40          b         21391         166.193        746        556
41          i         21791         166.593        1120        268
42          r         22783         167.585        480        268
43          y         23015         167.817        800        268
44          h         23455         168.257        853        412
45          bksp         24263         169.065        1600        268
46          bksp         24399         169.201        1600        268
47          t         24903         169.705        640        268
48          h         25279         170.081        853        412
49          enter         26671         171.473        1493        412
