Presented Phrase: if we do not succeed we run the risk of failure
Entered Phrase: if wo do not succeed we run the risk of failure
Index    Letter       Time       Seconds      Xpos       YPos   
0          i         0         174.753        1120        268
1          f         440         175.193        533        412
2          _         1304         176.057        320        700
3          w         1873         176.626        160        268
4          o         2537         177.29        1280        268
5          _         3249         178.002        320        700
6          d         3817         178.57        373        412
7          o         4361         179.114        1280        268
8          _         4856         179.609        320        700
9          n         5120         179.873        906        556
10          o         5496         180.249        1280        268
11          t         6016         180.769        640        268
12          _         6664         181.417        320        700
13          s         7176         181.929        213        412
14          u         7744         182.497        960        268
15          c         8264         183.017        426        556
16          c         8432         183.185        426        556
17          e         8760         183.513        320        268
18          e         8912         183.665        320        268
19          d         9248         184.001        373        412
20          _         9888         184.641        320        700
21          w         10440         185.193        160        268
22          e         10696         185.449        320        268
23          _         11264         186.017        320        700
24          r         11776         186.529        480        268
25          u         12264         187.017        960        268
26          n         12584         187.337        906        556
27          _         13016         187.769        320        700
28          t         13408         188.161        640        268
29          h         13752         188.505        853        412
30          e         14288         189.041        320        268
31          _         14864         189.617        320        700
32          r         15304         190.057        480        268
33          i         15752         190.505        1120        268
34          s         16256         191.009        213        412
35          k         16952         191.705        1173        412
36          _         17392         192.145        320        700
37          o         17928         192.681        1280        268
38          f         18479         193.232        533        412
39          _         18984         193.737        320        700
40          f         19417         194.17        533        412
41          a         19793         194.546        53        412
42          i         20352         195.105        1120        268
43          l         20736         195.489        1333        412
44          u         21176         195.929        960        268
45          r         22064         196.817        480        268
46          e         22304         197.057        320        268
47          enter         23176         197.929        1493        412
