Gazepoint Trace Data File,  09:49:03  04/04/2017 
sampindx  EyeFound   XPos   YPos   PupilDiam    EyeX    EyeY   EyeZ   GazeTiSec   RpTiSec   FoucsRange    FixIndx
    0        1      1177     384      5.90      1.3     3.6     0.3    63.0476    63.0672      771.7      0
    1        1      1177     373      5.94      1.1     3.7     0.3    63.0643    63.0837      771.7      0
    2        1      1171     377      5.92      0.9     3.7     0.5    63.0810    63.1003      771.7      0
    3        1      1172     363      5.92      0.7     3.8     0.3    63.0976    63.1171      771.7      0
    4        1      1170     359      5.92      0.4     3.8     0.2    63.1143    63.1338      771.7      0
    5        1      1207     376      5.90      0.1     3.8     0.1    63.1310    63.1505      771.7      0
    6        1       973     372      5.96     -0.4     3.9     0.0    63.1476    63.1672      771.7     -1
    7        1       715     319      5.94     -0.9     3.9    -0.0    63.1643    63.1837      771.7     -1
    8        1       555     341      5.96     -1.5     4.0     0.3    63.1810    63.2004      771.7      1
    9        1       551     340      5.98     -2.1     4.0     0.1    63.1976    63.2172      771.7      1
   10        1       541     326      6.00     -2.7     4.1     0.1    63.2143    63.2338      771.7      1
   11        1       532     315      5.98     -3.4     4.1    -0.2    63.2310    63.2505      771.7      1
   12        1       531     325      6.00     -4.0     4.2    -0.4    63.2476    63.2672      771.7      1
   13        1       538     322      5.96     -4.5     4.2    -0.4    63.2643    63.2838      771.7      1
   14        1       539     317      5.98     -4.9     4.2    -0.3    63.2810    63.3003      771.7      1
   15        1       525     328      5.96     -5.1     4.3    -0.6    63.2976    63.3171      771.7      1
   16        1       528     333      5.94     -5.1     4.3    -1.5    63.3143    63.3338      771.7      1
   17        1       527     341      5.94     -5.1     4.3    -1.8    63.3310    63.3504      771.7      1
   18        1       532     355      5.94     -5.0     4.4    -1.5    63.3476    63.3673      771.9      1
   19        1       527     331      5.90     -4.8     4.4    -1.3    63.3643    63.3838      772.0      1
   20        1       527     325      5.92     -4.7     4.5    -1.2    63.3810    63.4007      772.0      1
   21        1       529     339      5.82     -4.7     4.5    -2.5    63.3976    63.4173      772.0      1
   22        1       528     360      5.88     -4.6     4.6    -2.7    63.4143    63.4338      772.0      1
   23        1       522     357      5.86     -4.6     4.6    -2.3    63.4310    63.4506      771.9      1
   24        1       412     366      5.80     -4.7     4.7    -2.5    63.4476    63.4672      771.3      2
   25        1       394     354      5.86     -4.7     4.7    -2.2    63.4643    63.4839      770.9      2
   26        1       378     354      5.90     -4.7     4.7    -2.3    63.4810    63.5005      770.9      2
   27        1       374     346      5.82     -4.6     4.7    -2.2    63.4976    63.5172      770.9      2
   28        1       363     346      5.82     -4.5     4.7    -2.4    63.5143    63.5338      770.9      2
   29        1       353     339      5.82     -4.3     4.7    -2.4    63.5310    63.5505      770.9      2
   30        1       347     337      5.88     -4.0     4.7    -2.3    63.5476    63.5672      770.9      2
   31        1       350     357      5.84     -3.8     4.7    -2.2    63.5643    63.5838      770.8      2
   32        1       348     352      5.84     -3.8     4.7    -2.5    63.5810    63.6005      770.8      2
   33        1       351     354      5.84     -3.8     4.7    -2.2    63.5976    63.6172      770.8      2
   34        1       357     361      5.82     -3.8     4.7    -2.6    63.6143    63.6339      770.9      2
   35        1       362     367      5.82     -3.9     4.7    -2.7    63.6310    63.6506      770.9      2
   36        1       361     364      5.82     -4.0     4.8    -2.6    63.6477    63.6673      770.8      2
   37        1       372     356      5.82     -4.0     4.8    -1.9    63.6643    63.6839      770.5      2
   38        1       375     348      5.82     -4.0     4.8    -1.6    63.6810    63.7006      770.5      2
   39        1       387     343      5.82     -4.0     4.8    -1.4    63.6977    63.7172      770.5      2
   40        1       390     337      5.82     -4.0     4.8    -1.6    63.7143    63.7338      770.5      2
   41        1       385     336      5.82     -3.9     4.8    -1.6    63.7310    63.7506      770.5      2
   42        1       464     321      5.88     -3.8     4.8    -1.7    63.7477    63.7672      770.5     -1
   43        1       586     280      5.82     -3.7     4.8    -1.8    63.7643    63.7838      770.4     -1
   44        1       693     293      5.86     -3.7     4.8    -1.9    63.7810    63.8006      770.5      3
   45        1       689     283      5.84     -3.7     4.8    -1.8    63.7977    63.8172      770.5      3
   46        1       688     278      5.82     -3.7     4.8    -1.9    63.8143    63.8338      770.5      3
   47        1       687     314      5.82     -3.8     4.8    -2.1    63.8310    63.8507      770.5      3
   48        1       688     297      5.88     -3.8     4.9    -2.4    63.8477    63.8671      770.5      3
   49        1       696     282      5.80     -3.9     5.0    -2.4    63.8643    63.8838      770.5      3
   50        1       692     291      5.86     -3.9     5.0    -2.4    63.8810    63.9004      770.4      3
   51        1       694     309      5.74     -3.9     5.0    -2.4    63.8977    63.9171      770.2      3
   52        1       693     316      5.86     -3.8     5.1    -2.3    63.9143    63.9338      770.2      3
   53        1       689     286      5.86     -3.7     5.1    -2.1    63.9310    63.9505      770.2      3
   54        1       689     301      5.78     -3.6     5.1    -2.4    63.9477    63.9672      770.2      3
   55        1       689     312      5.88     -3.6     5.1    -2.1    63.9643    63.9838      770.2      3
   56        1       678     285      5.86     -3.6     5.0    -2.2    63.9810    64.0005      770.2      3
   57        1       512     267      5.78     -3.6     5.1    -3.4    63.9977    64.0171      770.2     -1
   58        1       256     120      5.84     -3.7     5.1    -2.4    64.0143    64.0339      770.2     -1
   59        1       139      80      5.86     -3.9     5.0    -2.3    64.0310    64.0505      770.2      4
   60        1       116      71      5.90     -4.1     4.9    -2.1    64.0477    64.0670      769.5      4
   61        1        88      82      5.90     -4.3     4.9    -0.9    64.0643    64.0839      769.3      4
   62        1       112      81      5.82     -4.5     4.9    -0.5    64.0810    64.1006      769.3      4
   63        1        69      96      5.86     -4.6     5.0    -0.2    64.0977    64.1172      769.3      4
   64        1        77      98      5.88     -4.7     5.0    -0.1    64.1143    64.1339      769.3      4
   65        1        73      75      5.90     -4.6     5.0     0.2    64.1310    64.1506      769.3      4
   66        1        77      67      5.90     -4.6     5.0     0.4    64.1477    64.1671      769.3      4
   67        1        88      63      5.92     -4.7     5.0     0.4    64.1643    64.1840      769.1      4
   68        1        88     105      5.86     -4.7     5.0     0.0    64.1810    64.2007      769.1      4
   69        1        94      68      5.92     -4.8     4.9    -0.5    64.1977    64.2172      769.1      4
   70        1        90     109      5.88     -4.9     4.9    -0.4    64.2143    64.2338      769.1      4
   71        1        91     113      5.90     -5.0     4.9    -0.6    64.2310    64.2504      769.1      4
   72        1        88      90      5.92     -5.0     4.9    -0.9    64.2477    64.2671      769.1      4
   73        1        90      94      5.90     -5.0     4.9    -1.4    64.2643    64.2840      769.1      4
   74        1        94     121      5.88     -4.9     4.9    -1.3    64.2810    64.3005      769.1      4
   75        1        93     120      5.88     -4.8     4.9    -1.2    64.2977    64.3172      769.1      4
   76        1        94      96      5.88     -4.7     5.0    -1.2    64.3143    64.3340      769.1      4
   77        1        98      88      5.90     -4.4     5.2    -1.4    64.3310    64.3506      769.1      4
   78        1        96      95      5.90     -4.2     5.2    -1.2    64.3477    64.3673      769.1      4
   79        1        96      98      5.86     -4.0     5.2    -1.0    64.3644    64.3839      769.1      4
   80        1        95     101      5.84     -4.0     5.3    -0.9    64.3810    64.4005      769.1      4
   81        1       144     108      5.90     -3.9     5.4    -0.5    64.3977    64.4172      769.1      4
   82        1       218      89      5.84     -3.8     5.4    -1.3    64.4144    64.4340      769.1      5
   83        1       222     107      5.76     -3.8     5.4    -1.4    64.4310    64.4506      769.1      5
   84        1       222      91      5.78     -3.8     5.4    -1.3    64.4477    64.4671      769.1      5
   85        1       222      90      5.82     -3.7     5.4    -1.8    64.4644    64.4841      768.9      5
   86        1       218      90      5.80     -3.7     5.4    -2.3    64.4810    64.5005      768.9      5
   87        1       219     108      5.78     -3.6     5.4    -2.0    64.4977    64.5172      768.9      5
   88        1       222      88      5.78     -3.5     5.4    -2.3    64.5144    64.5340      768.7      5
   89        1       242     126      5.76     -3.4     5.4    -1.7    64.5310    64.5506      768.5      5
   90        1       387     229      5.86     -3.3     5.3    -2.2    64.5477    64.5672      768.2     -1
   91        1       513     393      5.76     -3.1     5.3    -2.5    64.5644    64.5837      768.1     -1
   92        1       581     556      5.80     -2.8     5.3    -2.1    64.5810    64.6006      768.1     -1
   93        1       714     683      5.90     -2.5     5.2    -1.7    64.5977    64.6173      767.9      6
   94        1       698     688      5.66     -2.0     5.2    -1.8    64.6144    64.6338      767.8      6
   95        1       694     666      5.66     -1.6     5.1    -1.6    64.6310    64.6504      767.8      6
   96        1       692     641      5.70     -1.1     5.0    -0.8    64.6477    64.6672      767.8      6
   97        1       696     677      5.68     -0.6     4.9    -1.0    64.6644    64.6840      767.8      6
   98        1       709     658      5.62     -0.1     4.9    -1.4    64.6810    64.7005      767.8      6
   99        1       718     658      5.60      0.4     4.8    -1.6    64.6977    64.7172      767.8      6
  100        1       720     641      5.60      0.8     4.7    -2.5    64.7144    64.7338      767.7      6
  101        1       729     653      5.62      1.2     4.7    -3.3    64.7310    64.7505      767.7      6
  102        1       736     653      5.64      1.7     4.7    -3.1    64.7477    64.7671      767.7      6
  103        1       730     646      5.62      2.1     4.6    -3.3    64.7644    64.7837      767.0      6
  104        1       744     648      5.68      2.4     4.6    -3.4    64.7810    64.8006      765.7      6
  105        1       752     696      5.70      2.7     4.6    -2.5    64.7977    64.8171      765.2      6
  106        1       752     692      5.68      2.8     4.6    -2.5    64.8144    64.8338      765.1      6
  107        1       743     671      5.62      3.0     4.6    -2.3    64.8310    64.8505      765.1      6
  108        1       743     682      5.68      3.2     4.6    -2.3    64.8477    64.8672      765.1      6
  109        1       736     668      5.70      3.4     4.5    -2.5    64.8644    64.8838      765.1      6
  110        0         0       0      0.00      0.0     0.0     0.0    0.0000    0.0000        0.0     -1
  111        0         0       0      0.00      0.0     0.0     0.0    0.0000    0.0000        0.0     -1
  112        0         0       0      0.00      0.0     0.0     0.0    0.0000    0.0000        0.0     -1
  113        0         0       0      0.00      0.0     0.0     0.0    0.0000    0.0000        0.0     -1
  114        0         0       0      0.00      0.0     0.0     0.0    0.0000    0.0000        0.0     -1
  115        0         0       0      0.00      0.0     0.0     0.0    0.0000    0.0000        0.0     -1
  116        1       931     441      5.66      4.6     4.4    -4.2    64.9811    65.0006      764.9      7
  117        1       927     434      6.06      4.6     4.4    -3.3    64.9977    65.0170      765.1      7
  118        1       920     446      5.78      4.6     4.4    -3.9    65.0144    65.0340      765.7      7
  119        1       924     428      5.80      4.7     4.6    -3.9    65.0311    65.0506      765.9      7
  120        1       925     433      5.78      4.7     4.5    -3.9    65.0477    65.0672      765.8      7
  121        1       922     447      5.72      4.7     4.5    -4.3    65.0644    65.0838      765.1      7
  122        1       923     448      5.78      4.6     4.6    -3.5    65.0811    65.1005      764.6      7
  123        1       914     442      5.78      4.5     4.6    -2.7    65.0977    65.1173      764.5      7
  124        1       924     428      5.74      4.4     4.6    -2.5    65.1144    65.1338      763.7      7
  125        1       925     436      5.76      4.4     4.5    -2.0    65.1311    65.1506      763.2      7
  126        1       922     450      5.74      4.4     4.5    -2.1    65.1477    65.1672      763.1      7
  127        1       923     447      5.74      4.5     4.5    -2.4    65.1644    65.1839      763.1      7
  128        1       938     438      5.78      4.6     4.5    -2.2    65.1811    65.2005      763.1      7
  129        1      1112     394      5.76      4.8     4.5    -1.3    65.1977    65.2171      763.1     -1
  130        1      1192     358      5.82      4.9     4.4    -0.9    65.2144    65.2341      763.0      8
  131        1      1191     371      5.82      5.0     4.4    -0.8    65.2311    65.2507      763.0      8
  132        1      1184     346      5.86      5.0     4.4    -0.6    65.2477    65.2673      763.0      8
  133        1      1175     346      5.90      5.1     4.3    -0.4    65.2644    65.2841      763.0      8
  134        1      1183     365      5.88      5.1     4.3    -0.5    65.2811    65.3006      763.0      8
  135        1      1178     354      5.88      5.0     4.3    -0.3    65.2977    65.3174      763.0      8
  136        1      1172     374      5.90      4.9     4.3    -0.1    65.3144    65.3339      763.0      8
  137        1      1173     350      5.92      5.0     4.3     0.1    65.3311    65.3505      763.0      8
  138        1      1176     351      5.94      4.9     4.3     0.3    65.3477    65.3673      763.0      8
  139        1      1178     358      6.04      4.8     4.3     0.5    65.3644    65.3839      763.0      8
  140        1      1175     345      5.96      4.5     4.3     0.8    65.3811    65.4005      763.0      8
  141        1      1178     357      5.98      4.5     4.3     0.8    65.3977    65.4172      763.0      8
  142        1      1176     362      6.02      4.3     4.2     0.8    65.4144    65.4339      763.0      8
  143        1      1182     359      5.94      4.2     4.2     0.7    65.4311    65.4506      763.0      8
