fixindx    X     Y     SacDur  FixDur  FixStart
    0     1179   372      0        6        0
    1      533   334      2       16        8
    2      369   350      0       18       24
    3      689   295      2       13       44
    4       95    92      2       23       59
    5      223    98      0        8       82
    6      723   665      3       17       93
    7      924   439      6       13      116
    8     1179   362      1       19      130
    9      201   267      3        6      152
   10       55   240      0       13      158
   11      282   500      1       41      172
   12      745   676      2       14      215
   13      946   628      1       35      230
   14     1282   362      2       30      267
   15      916   338      2        9      299
   16      724   353      0       19      308
   17       81   218      2       16      329
   18      145    67      0       12      345
   19      714   601      4       16      361
   20      820   353      1       28      378
   21      888   486      0       19      406
   22      428   364      2       17      427
   23      171   183      1       18      445
   24      194   101      0       16      463
   25      884   531     12        9      491
   26     1160   479      1       34      501
   27      939   583      1       46      536
   28      222   218      2       20      584
   29     1697   365      6       17      610
   30      304   181      5       12      632
   31      201   209      0        8      644
   32      885   515      3       11      655
   33      764   482      9       28      675
   34      233   170      2       15      705
   35      298   107      0       10      720
   36      717   353      2       32      732
   37      780   400      5       18      769
   38       99   467      2       26      789
   39      659   331      2       18      817
   40      329   151      2       21      837
   41      717   610      4       14      862
   42      380   455      7       18      883
   43      395   382      0       18      901
   44      769   530      2       23      921
   45      648   494      0       19      944
   46      564   472      0        7      963
   47      412   488      0       18      970
   48      320   480      0       11      988
   49      392   199      1       21     1000
   50      461   122      0       22     1021
   51      856   380      2       15     1045
   52     1018   352      1       16     1061
   53     1214   355      0       14     1077
   54     1039   365      0       18     1091
   55      463   166      3       21     1112
   56      834   600      3       19     1136
   57      883   379      1       15     1156
   58      749   381      0       19     1171
   59     1289   377      2       18     1192
   60      906   637      4       20     1214
   61      853   448      1       22     1235
   62      744   379      0       23     1257
   63      425   364      1       18     1281
   64      535   191      0       33     1299
   65      700   538      2       16     1334
   66      753   360      0       25     1350
   67     1301   381      2       32     1377
   68      470   359      4       16     1413
   69      372   365      0       33     1429
   70      539   317      1       20     1463
   71      611   247      0       19     1483
   72     1692   376      5       16     1507
   73      531   339      7       21     1530
   74      600   221      1       31     1552
   75       68   180      1        9     1584
   76     1496   474      6        9     1599
   77     1614   504      0       28     1608
   78     1059   397      2       11     1638
   79      947   671      1       26     1650
   80       95    41      3        8     1679
   81       -5    75      0       17     1687
   82      355   404      2       12     1706
   83      277   370      0       15     1718
   84      200   444      0       19     1733
   85      473   371      1       16     1753
   86      675   366      1       15     1770
   87      587   566      0       24     1785
   88      897   503      1       33     1810
   89      -55   147      3       13     1846
   90       13    49      0       22     1859
   91      -18   169      0       21     1881
   92     1683   381      8       16     1910
   93       32   173     11       29     1937
   94      588   622      3       20     1969
   95      834   502      1       52     1990
   96     1150   382      2       22     2044
   97      954   350      1       17     2067
   98      691   360      1       22     2085
