fixindx    X     Y     SacDur  FixDur  FixStart
    0      882   333      6       37        6
    1      792   673      2       23       45
    2      352   383      2       12       70
    3      262   367      0       17       82
    4       56   219      1       18      100
    5      173   409      1       12      119
    6      581   359      2       21      133
    7      709   369      0       16      154
    8      622   573      0       11      170
    9      524   603      0       12      181
   10      917   485      1       43      194
   11      116   178      3       12      240
   12      157    92      0       17      252
   13      526   411      3       13      272
   14      589   472      0       12      285
   15      424   377      1       26      298
   16     1206   495      4       21      328
   17     1355   469      1       27      350
   18     1007   622      1       17      378
   19      978   535      0        7      395
   20     1086   357      1       28      403
   21      956   546      0       20      431
   22      236   182      2       17      453
   23      272    90      0       19      470
   24      696   367      2       17      491
   25      796   386      0       33      508
   26      464   347      1       21      542
   27      299   221      1       18      564
   28      557   628      2       13      584
   29      283   404      1       41      598
   30      643   360      1       24      640
   31      485   366      0       24      664
   32      366   218      1       18      689
   33      423   114      0       13      707
   34      487   123      0        8      720
   35      792   599      3       17      731
   36      307   505      2       13      750
   37      210   489      0       25      763
   38      565   482      1        9      789
   39      851   554      1        9      799
   40      945   575      0        9      808
   41      764   480      1        9      818
   42      611   487      0       10      827
   43      468   469      0       33      837
   44      499   117      1       17      871
   45      569   121      0       10      888
   46      412   189      0       21      898
   47      255   489      2       21      921
   48      258   466      7       15      949
   49      899   556      3       22      967
   50     1125   485      1       29      990
   51      481   188      2       17     1021
   52      559   116      0       13     1038
   53      781   395      2       24     1053
   54      723   353      0       17     1077
   55     1253   340      2       29     1096
   56      894   635      2       15     1127
   57      841   391      1       12     1143
   58      727   357      0       15     1155
   59      874   430      1       21     1171
   60      527   320      1       13     1193
   61      436   324      0        8     1206
   62      598   205      1       18     1215
   63      721   556      2       11     1235
   64      814   572      0       30     1246
   65     1214   381      2       18     1278
   66      905   335      1        9     1297
   67      704   342      1       10     1307
   68      599   360      0       11     1317
   69      701   328      0       27     1328
   70     1271   340      2       27     1357
   71     1125   513      1        9     1385
   72     1021   562      0       11     1394
   73      639   186      2       23     1407
   74      115   200      2       21     1432
   75      102    85      0        9     1453
   76     1551   428      6       26     1468
   77     1116   418      1       10     1495
   78      988   466      0       77     1505
   79      949   545      0       38     1582
   80      760   544      1       11     1621
   81      953   502      8       24     1640
   82     1005   429      0       13     1664
   83     1120   394      0       10     1677
   84     1197   403      0       11     1687
   85      945   478      1       18     1699
   86      748   448      0       22     1717
   87      788   387      0       38     1739
   88      788   498      0       14     1777
   89     1056   366      1        8     1792
   90     1804    71      3       41     1803
   91      986   435      2        9     1846
